Molecular/Biological/Cellular Ontology Terms: 

GO:0043065      positive regulation of apoptotic process                                                                                 ['Cck', 'Camk1d']                       
GO:0016811      hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides                                  ['Nit2']                                
GO:0043123      positive regulation of I-kappaB kinase/NF-kappaB signaling                                                               ['Car11']                               
GO:0005604      basement membrane                                                                                                        ['Lamb1']                               
GO:0016338      calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules                                       ['Dscaml1']                             
GO:0003899      DNA-directed 5'-3' RNA polymerase activity                                                                               ['Polr2l']                              
GO:0007017      microtubule-based process                                                                                                ['Tuba4a']                              
R-MMU-2262752   Cellular responses to stress                                                                                             ['Tuba4a']                              
R-MMU-6811434   COPI-dependent Golgi-to-ER retrograde traffic                                                                            ['Tuba4a']                              
R-MMU-422356    Regulation of insulin secretion                                                                                          ['Gng13']                               
GO:0097478      leaflet of membrane bilayer                                                                                              ['Gng13', 'Kcnab1']                     
GO:0019003      GDP binding                                                                                                              ['Rasgrp1']                             
GO:0043231      intracellular membrane-bounded organelle                                                                                 ['Fam241a', 'Rnd1', 'Ptprk', 'Eif4enif1']
GO:1990265      platelet-derived growth factor complex                                                                                   ['Pdgfa']                               
GO:0030183      B cell differentiation                                                                                                   ['Car11']                               
GO:0003676      nucleic acid binding                                                                                                     ['Enpp2', 'Gpatch4']                    
R-MMU-5651801   PCNA-Dependent Long Patch Base Excision Repair                                                                           ['Pole4']                               
GO:0005509      calcium ion binding                                                                                                      ['Rasgrp1', 'Calb1', 'Enpp2', 'Pls3', 'Vldlr', 'Cdh7']
GO:0016477      cell migration                                                                                                           ['Lamb1', 'Rnd1', 'Ptprk', 'Pdgfa']     
R-MMU-112315    Transmission across Chemical Synapses                                                                                    ['Gng13', 'Gabrb2', 'Gabra4', 'Gabra5'] 
GO:0001741      XY body                                                                                                                  ['Pbx4']                                
GO:0046330      positive regulation of JNK cascade                                                                                       ['Rasgrp1', 'Tpd52l1']                  
R-MMU-68875     Mitotic Prophase                                                                                                         ['Lmna']                                
GO:0050731      positive regulation of peptidyl-tyrosine phosphorylation                                                                 ['Cck', 'Kitl', 'Enpp2']                
GO:0006821      chloride transport                                                                                                       ['Gabrb2', 'Gabra4', 'Gabra5']          
GO:0006351      transcription, DNA-templated                                                                                             ['Pole4']                               
GO:1990782      protein tyrosine kinase binding                                                                                          ['Phyhip']                              
R-MMU-156580    Phase II - Conjugation of compounds                                                                                      ['Papss1']                              
GO:0032793      positive regulation of CREB transcription factor activity                                                                ['Camk1d']                              
GO:0071564      npBAF complex                                                                                                            ['Arid1b']                              
GO:1901534      positive regulation of hematopoietic progenitor cell differentiation                                                     ['Kitl']                                
GO:0035790      platelet-derived growth factor receptor-alpha signaling pathway                                                          ['Pdgfa']                               
GO:0002687      positive regulation of leukocyte migration                                                                               ['Kitl']                                
GO:0070662      mast cell proliferation                                                                                                  ['Kitl']                                
GO:0007409      axonogenesis                                                                                                             ['Cck']                                 
GO:0033089      positive regulation of T cell differentiation in thymus                                                                  ['Rasgrp1']                             
GO:0005499      vitamin D binding                                                                                                        ['Calb1']                               
GO:0034394      protein localization to cell surface                                                                                     ['Ptprk']                               
GO:0099567      calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration                           ['Calb1']                               
GO:0007214      gamma-aminobutyric acid signaling pathway                                                                                ['Gabrb2', 'Gabra4', 'Gabra5']          
GO:0019827      stem cell population maintenance                                                                                         ['Eif4enif1']                           
R-MMU-1296071   Potassium Channels                                                                                                       ['Gng13', 'Kcnab1']                     
GO:2000986      negative regulation of behavioral fear response                                                                          ['Cck']                                 
GO:0022011      myelination in peripheral nervous system                                                                                 ['Pou3f1']                              
GO:0051260      protein homooligomerization                                                                                              ['Car11']                               
GO:0009336      sulfate adenylyltransferase complex (ATP)                                                                                ['Papss1']                              
GO:0051092      positive regulation of NF-kappaB transcription factor activity                                                           ['Car11']                               
GO:0032091      negative regulation of protein binding                                                                                   ['Ckmt1']                               
GO:0006807      nitrogen compound metabolic process                                                                                      ['Nit2']                                
GO:0042102      positive regulation of T cell proliferation                                                                              ['Kitl']                                
GO:0007205      protein kinase C-activating G protein-coupled receptor signaling pathway                                                 ['Cck']                                 
GO:0022851      GABA-gated chloride ion channel activity                                                                                 ['Gabrb2', 'Gabra4', 'Gabra5']          
GO:0000226      microtubule cytoskeleton organization                                                                                    ['Tuba4a']                              
GO:0021812      neuronal-glial interaction involved in cerebral cortex radial glia guided migration                                      ['Lamb1']                               
R-MMU-416550    Sema4D mediated inhibition of cell attachment and migration                                                              ['Rnd1']                                
GO:0016917      GABA receptor activity                                                                                                   ['Gabrb2']                              
GO:0016836      hydro-lyase activity                                                                                                     ['Car11']                               
R-MMU-390466    Chaperonin-mediated protein folding                                                                                      ['Gng13']                               
GO:0046579      positive regulation of Ras protein signal transduction                                                                   ['Rasgrp1', 'Kitl']                     
GO:0010976      positive regulation of neuron projection development                                                                     ['Camk1d']                              
R-MMU-392451    G beta:gamma signalling through PI3Kgamma                                                                                ['Gng13']                               
GO:0030425      dendrite                                                                                                                 ['Cck', 'Calb1', 'Gng13', 'Ptprk', 'Gabra4', 'Gabra5']
R-MMU-111885    Opioid Signalling                                                                                                        ['Gng13']                               
GO:0050428      3'-phosphoadenosine 5'-phosphosulfate biosynthetic process                                                               ['Papss1']                              
GO:0032204      regulation of telomere maintenance                                                                                       ['Lmna']                                
R-MMU-453279    Mitotic G1 phase and G1/S transition                                                                                     ['Pole4']                               
GO:0007015      actin filament organization                                                                                              ['Rnd1']                                
R-MMU-392851    Prostacyclin signalling through prostacyclin receptor                                                                    ['Gng13']                               
R-MMU-418346    Platelet homeostasis                                                                                                     ['Gng13']                               
R-MMU-380287    Centrosome maturation                                                                                                    ['Tuba4a']                              
R-MMU-73762     RNA Polymerase I Transcription Initiation                                                                                ['Polr2l']                              
GO:0031210      phosphatidylcholine binding                                                                                              ['Rasgrp1']                             
GO:0048471      perinuclear region of cytoplasm                                                                                          ['Tpd52l1', 'Lamb1', 'Lmna', 'Vldlr', 'Tpd52l2']
GO:0048511      rhythmic process                                                                                                         ['Klf9']                                
GO:0001540      amyloid-beta binding                                                                                                     ['Itm2a']                               
R-MMU-8953897   Cellular responses to stimuli                                                                                            ['Tuba4a']                              
GO:0031681      G-protein beta-subunit binding                                                                                           ['Gng13']                               
GO:1902494      catalytic complex                                                                                                        ['Gng13']                               
R-MMU-8866427   VLDLR internalisation and degradation                                                                                    ['Vldlr']                               
GO:0120162      positive regulation of cold-induced thermogenesis                                                                        ['Ebf2']                                
R-MMU-9717189   Sensory perception of taste                                                                                              ['Gng13']                               
R-MMU-6803529   FGFR2 alternative splicing                                                                                               ['Polr2l']                              
GO:0031966      mitochondrial membrane                                                                                                   ['Slc25a33']                            
GO:0005667      transcription regulator complex                                                                                          ['Pou3f1']                              
GO:0045211      postsynaptic membrane                                                                                                    ['Gabrb2', 'Gabra4', 'Gabra5']          
R-MMU-453274    Mitotic G2-G2/M phases                                                                                                   ['Tuba4a']                              
GO:0051897      positive regulation of protein kinase B signaling                                                                        ['Pdgfa']                               
GO:0050766      positive regulation of phagocytosis                                                                                      ['Camk1d']                              
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Rasgrp1', 'Kitl', 'Pdgfa']            
R-MMU-194315    Signaling by Rho GTPases                                                                                                 ['Rnd1', 'Tuba4a']                      
GO:0030334      regulation of cell migration                                                                                             ['Enpp2', 'Lmna']                       
GO:0071420      cellular response to histamine                                                                                           ['Gabrb2']                              
R-MMU-15869     Metabolism of nucleotides                                                                                                ['Ak5']                                 
GO:0052689      carboxylic ester hydrolase activity                                                                                      ['Mgll']                                
GO:0009966      regulation of signal transduction                                                                                        ['Mgll']                                
GO:0004674      protein serine/threonine kinase activity                                                                                 ['Camk1d', 'Cdkl2']                     
GO:0072659      protein localization to plasma membrane                                                                                  ['Dpp10']                               
GO:0032762      mast cell cytokine production                                                                                            ['Rasgrp1']                             
R-MMU-1433559   Regulation of KIT signaling                                                                                              ['Kitl']                                
GO:2000324      positive regulation of glucocorticoid receptor signaling pathway                                                         ['Lmo3']                                
GO:0002080      acrosomal membrane                                                                                                       ['Ccdc136']                             
GO:0016779      nucleotidyltransferase activity                                                                                          ['Papss1']                              
GO:0043197      dendritic spine                                                                                                          ['Calb1']                               
GO:0030667      secretory granule membrane                                                                                               ['Ccdc136']                             
GO:0004551      dinucleotide phosphatase activity                                                                                        ['Enpp2']                               
GO:0048666      neuron development                                                                                                       ['Pbx4', 'Gabrb2', 'Gabra5']            
GO:0034707      chloride channel complex                                                                                                 ['Gabrb2', 'Gabra4', 'Gabra5']          
R-MMU-437239    Recycling pathway of L1                                                                                                  ['Tuba4a']                              
R-MMU-1433557   Signaling by SCF-KIT                                                                                                     ['Kitl']                                
R-MMU-112314    Neurotransmitter receptors and postsynaptic signal transmission                                                          ['Gng13', 'Gabrb2', 'Gabra4', 'Gabra5'] 
GO:0030010      establishment of cell polarity                                                                                           ['Lmna']                                
GO:0098693      regulation of synaptic vesicle cycle                                                                                     ['Pls3']                                
GO:0007097      nuclear migration                                                                                                        ['Lmna']                                
GO:0005524      ATP binding                                                                                                              ['Ak5', 'Camk1d', 'Cdkl2', 'Ckmt1', 'Papss1']
GO:0010001      glial cell differentiation                                                                                               ['Pou3f1']                              
GO:1903243      negative regulation of cardiac muscle hypertrophy in response to stress                                                  ['Lmna']                                
GO:0034451      centriolar satellite                                                                                                     ['Ak5']                                 
GO:0051664      nuclear pore localization                                                                                                ['Lmna']                                
GO:0031256      leading edge membrane                                                                                                    ['Ptprk', 'Gabra4', 'Gabra5']           
GO:0002763      positive regulation of myeloid leukocyte differentiation                                                                 ['Kitl']                                
R-MMU-72766     Translation                                                                                                              ['Mrps15']                              
GO:0042552      myelination                                                                                                              ['Pou3f1']                              
GO:0072205      metanephric collecting duct development                                                                                  ['Calb1']                               
GO:0001054      RNA polymerase I activity                                                                                                ['Polr2l']                              
GO:0032437      cuticular plate                                                                                                          ['Calb1']                               
R-MMU-71387     Metabolism of carbohydrates                                                                                              ['Hs3st2', 'Papss1']                    
GO:0070603      SWI/SNF superfamily-type complex                                                                                         ['Pole4', 'Arid1b']                     
GO:0031901      early endosome membrane                                                                                                  ['Ubxn6']                               
R-MMU-5684996   MAPK1/MAPK3 signaling                                                                                                    ['Rasgrp1', 'Kitl', 'Pdgfa']            
GO:0030182      neuron differentiation                                                                                                   ['Eif4enif1']                           
GO:0051015      actin filament binding                                                                                                   ['Pls3']                                
R-MMU-190840    Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane                                         ['Tuba4a']                              
GO:0005783      endoplasmic reticulum                                                                                                    ['Rasgrp1', 'Tmem33']                   
R-MMU-948021    Transport to the Golgi and subsequent modification                                                                       ['Tuba4a']                              
GO:0016363      nuclear matrix                                                                                                           ['Lmna']                                
GO:0008503      benzodiazepine receptor activity                                                                                         ['Gabra4', 'Gabra5']                    
R-MMU-186763    Downstream signal transduction                                                                                           ['Pdgfa']                               
GO:0004888      transmembrane signaling receptor activity                                                                                ['Gabrb2', 'Gabra4', 'Gabra5']          
GO:0036503      ERAD pathway                                                                                                             ['Ubxn6']                               
GO:0000165      MAPK cascade                                                                                                             ['Tpd52l1']                             
GO:0005743      mitochondrial inner membrane                                                                                             ['Pls3', 'Slc25a33', 'Mrps15', 'Ckmt1'] 
GO:0016607      nuclear speck                                                                                                            ['Lmna']                                
GO:0035360      positive regulation of peroxisome proliferator activated receptor signaling pathway                                      ['Lmo3']                                
R-MMU-8852276   The role of GTSE1 in G2/M progression after G2 checkpoint                                                                ['Tuba4a']                              
GO:0010544      negative regulation of platelet activation                                                                               ['Pdgfa']                               
GO:0007405      neuroblast proliferation                                                                                                 ['Hhip']                                
GO:0030516      regulation of axon extension                                                                                             ['Mgll']                                
R-MMU-190236    Signaling by FGFR                                                                                                        ['Polr2l']                              
GO:0002082      regulation of oxidative phosphorylation                                                                                  ['Slc25a33']                            
GO:0005882      intermediate filament                                                                                                    ['Lmna']                                
GO:0030216      keratinocyte differentiation                                                                                             ['Pou3f1']                              
GO:1903371      regulation of endoplasmic reticulum tubular network organization                                                         ['Tmem33']                              
GO:0030154      cell differentiation                                                                                                     ['Rasgrp1', 'Cpne9', 'Ccdc136']         
GO:0031253      cell projection membrane                                                                                                 ['Gabra4', 'Gabra5']                    
R-MMU-1280218   Adaptive Immune System                                                                                                   ['Rasgrp1', 'Tuba4a', 'Fbxl16', 'Car11']
GO:0007399      nervous system development                                                                                               ['Dscaml1', 'Islr2', 'Camk1d', 'Arid1b']
GO:0005216      monoatomic ion channel activity                                                                                          ['Gabrb2', 'Gabra4', 'Gabra5']          
GO:0031594      neuromuscular junction                                                                                                   ['Pls3']                                
GO:0015459      potassium channel regulator activity                                                                                     ['Kcnab1', 'Dpp10']                     
GO:1901565      organonitrogen compound catabolic process                                                                                ['Enpp2']                               
R-MMU-2454202   Fc epsilon receptor (FCERI) signaling                                                                                    ['Car11']                               
R-MMU-3214858   RMTs methylate histone arginines                                                                                         ['Arid1b']                              
GO:0007165      signal transduction                                                                                                      ['Hhip', 'Gng13', 'Rnd1', 'Ptprk', 'Gabrb2', 'Gabra4', 'Gabra5', 'Car11']
GO:0001934      positive regulation of protein phosphorylation                                                                           ['Rasgrp1']                             
GO:0005739      mitochondrion                                                                                                            ['Nit2', 'Lyrm4', 'Pls3', 'Slc25a33', 'Mrps15', 'Ckmt1', 'Ccdc136']
GO:0034220      ion transmembrane transport                                                                                              ['Gabrb2', 'Gabra4', 'Gabra5']          
GO:0045944      positive regulation of transcription by RNA polymerase II                                                                ['Ebf2', 'Pou3f1', 'Lmo3', 'Klf9']      
GO:0071622      regulation of granulocyte chemotaxis                                                                                     ['Camk1d']                              
GO:0010977      negative regulation of neuron projection development                                                                     ['Ptprg']                               
GO:0006541      glutamine metabolic process                                                                                              ['Nit2']                                
GO:0099534      calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration                            ['Calb1']                               
GO:0004527      exonuclease activity                                                                                                     ['Enpp2']                               
R-MMU-9717207   Sensory perception of sweet, bitter, and umami (glutamate) taste                                                         ['Gng13']                               
R-MMU-9009391   Extra-nuclear estrogen signaling                                                                                         ['Gng13']                               
GO:0044572      [4Fe-4S] cluster assembly                                                                                                ['Lyrm4']                               
GO:0034504      protein localization to nucleus                                                                                          ['Lmna']                                
GO:0005161      platelet-derived growth factor receptor binding                                                                          ['Pdgfa']                               
GO:0015276      ligand-gated ion channel activity                                                                                        ['Gabra4', 'Gabra5']                    
R-MMU-69278     Cell Cycle, Mitotic                                                                                                      ['Lmna', 'Tuba4a', 'Pole4']             
GO:0045669      positive regulation of osteoblast differentiation                                                                        ['Lmna']                                
GO:0030688      preribosome, small subunit precursor                                                                                     ['Noc4l']                               
GO:0045654      positive regulation of megakaryocyte differentiation                                                                     ['Pithd1']                              
R-MMU-76002     Platelet activation, signaling and aggregation                                                                           ['Rasgrp1', 'Gng13', 'Tuba4a', 'Mgll', 'Pdgfa']
R-MMU-6814122   Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding                                                       ['Gng13']                               
GO:0008203      cholesterol metabolic process                                                                                            ['Vldlr']                               
GO:0043005      neuron projection                                                                                                        ['Calb1', 'Gabrb2', 'Gabra4', 'Gabra5'] 
R-MMU-451326    Activation of kainate receptors upon glutamate binding                                                                   ['Gng13']                               
GO:0051894      positive regulation of focal adhesion assembly                                                                           ['Enpp2']                               
GO:0016226      iron-sulfur cluster assembly                                                                                             ['Lyrm4']                               
GO:0005789      endoplasmic reticulum membrane                                                                                           ['Tmem33']                              
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Lmo3']                                
GO:0006528      asparagine metabolic process                                                                                             ['Nit2']                                
R-MMU-110314    Recognition of DNA damage by PCNA-containing replication complex                                                         ['Pole4']                               
GO:0051149      positive regulation of muscle cell differentiation                                                                       ['Lamb1']                               
R-MMU-68886     M Phase                                                                                                                  ['Lmna', 'Tuba4a']                      
R-MMU-8875878   MET promotes cell motility                                                                                               ['Lamb1']                               
R-MMU-1638091   Heparan sulfate/heparin (HS-GAG) metabolism                                                                              ['Hs3st2']                              
GO:0009887      animal organ morphogenesis                                                                                               ['Hhip', 'Lamb1', 'Pbx4', 'Pdgfa']      
GO:0035234      ectopic germ cell programmed cell death                                                                                  ['Kitl']                                
R-MMU-983168    Antigen processing: Ubiquitination & Proteasome degradation                                                              ['Fbxl16']                              
GO:0045907      positive regulation of vasoconstriction                                                                                  ['Mgll']                                
GO:0090201      negative regulation of release of cytochrome c from mitochondria                                                         ['Lmna']                                
R-MMU-500792    GPCR ligand binding                                                                                                      ['Cck', 'Gng13']                        
R-MMU-75953     RNA Polymerase II Transcription Initiation                                                                               ['Polr2l']                              
GO:0030686      90S preribosome                                                                                                          ['Noc4l']                               
GO:0050773      regulation of dendrite development                                                                                       ['Camk1d']                              
R-MMU-5685942   HDR through Homologous Recombination (HRR)                                                                               ['Pole4']                               
GO:0006412      translation                                                                                                              ['Mrps15', 'Eif4enif1']                 
GO:0060683      regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling                     ['Pdgfa']                               
R-MMU-1296072   Voltage gated Potassium channels                                                                                         ['Kcnab1']                              
GO:2000113      negative regulation of cellular macromolecule biosynthetic process                                                       ['Itm2a']                               
GO:0007626      locomotory behavior                                                                                                      ['Calb1']                               
GO:0070374      positive regulation of ERK1 and ERK2 cascade                                                                             ['Rasgrp1', 'Pdgfa']                    
R-MMU-71288     Creatine metabolism                                                                                                      ['Ckmt1']                               
GO:0006730      one-carbon metabolic process                                                                                             ['Car11']                               
GO:0001953      negative regulation of cell-matrix adhesion                                                                              ['Enpp2']                               
GO:0016050      vesicle organization                                                                                                     ['Ccdc136']                             
GO:0000166      nucleotide binding                                                                                                       ['Ak5', 'Rnd1', 'Tuba4a', 'Camk1d', 'Cdkl2', 'Ckmt1', 'Papss1']
GO:0006417      regulation of translation                                                                                                ['Eif4enif1']                           
GO:0099092      postsynaptic density, intracellular component                                                                            ['Fam81a']                              
GO:0005773      vacuole                                                                                                                  ['Itm2a', 'Tmem33', 'Ccdc136']          
GO:0051881      regulation of mitochondrial membrane potential                                                                           ['Slc25a33']                            
GO:0031146      SCF-dependent proteasomal ubiquitin-dependent protein catabolic process                                                  ['Fbxl16']                              
GO:0044087      regulation of cellular component biogenesis                                                                              ['Gpatch4']                             
GO:0005575      cellular_component                                                                                                       ['Hs3st2', 'Pdzrn4', '2310009B15Rik', 'Lrrc73', 'Fam81a', 'Mettl26']
