Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Fosb', 'Lhx2', 'Irx1', 'Pou3f1', 'Shox2', 'Pou3f4', 'Junb', 'Foxo1', 'Sox6', 'Hey1', 'Cxxc5', 'Ar', 'Trp53', 'Maf', 'Egr1', 'Nr2f6', 'Smad4', 'Pou2f1']
GO:0005881      cytoplasmic microtubule                                                                                                  ['Ebf3', 'Mtus2']                       
GO:0070662      mast cell proliferation                                                                                                  ['Kitl']                                
GO:0006783      heme biosynthetic process                                                                                                ['Tmem14a']                             
GO:0043504      mitochondrial DNA repair                                                                                                 ['Trp53']                               
GO:1903033      positive regulation of microtubule plus-end binding                                                                      ['Ebf3']                                
GO:0022011      myelination in peripheral nervous system                                                                                 ['Pou3f1']                              
GO:0001659      temperature homeostasis                                                                                                  ['Acadl']                               
GO:0051260      protein homooligomerization                                                                                              ['Kctd4', 'Peg10', 'Kctd12', 'Kcna6']   
GO:0070900      mitochondrial tRNA modification                                                                                          ['Cdk5rap1']                            
GO:0070059      intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress                                        ['Trp53']                               
GO:0030862      positive regulation of polarized epithelial cell differentiation                                                         ['Numb']                                
GO:0034227      tRNA thio-modification                                                                                                   ['Ctu2']                                
GO:0060244      negative regulation of cell proliferation involved in contact inhibition                                                 ['Dach1']                               
GO:0045550      geranylgeranyl reductase activity                                                                                        ['Ar']                                  
GO:0099503      secretory vesicle                                                                                                        ['Map6']                                
GO:0007205      protein kinase C-activating G protein-coupled receptor signaling pathway                                                 ['Cck']                                 
GO:0000226      microtubule cytoskeleton organization                                                                                    ['Map6']                                
GO:0014704      intercalated disc                                                                                                        ['Fgf13']                               
GO:0043022      ribosome binding                                                                                                         ['Eif5a2', 'Pttg1']                     
GO:0007608      sensory perception of smell                                                                                              ['Olfr920', 'Syt10']                    
GO:0014069      postsynaptic density                                                                                                     ['Homer3', 'Pdlim5', 'Numb', 'Prr7', 'Dlg4']
GO:1904719      positive regulation of AMPA glutamate receptor clustering                                                                ['Dlg4']                                
R-MMU-6804758   Regulation of TP53 Activity through Acetylation                                                                          ['Trp53']                               
R-MMU-392451    G beta:gamma signalling through PI3Kgamma                                                                                ['Gng13']                               
GO:0050428      3'-phosphoadenosine 5'-phosphosulfate biosynthetic process                                                               ['Papss1']                              
GO:0009056      catabolic process                                                                                                        ['Mmp17']                               
GO:0060411      cardiac septum morphogenesis                                                                                             ['Hey1', 'Trp53']                       
GO:0006418      tRNA aminoacylation for protein translation                                                                              ['Tarsl2']                              
GO:0030042      actin filament depolymerization                                                                                          ['Mical2']                              
GO:0007141      male meiosis I                                                                                                           ['Hspa2']                               
GO:0043795      glyceraldehyde oxidoreductase activity                                                                                   ['Ar']                                  
R-MMU-8849932   Synaptic adhesion-like molecules                                                                                         ['Dlg4']                                
GO:0072687      meiotic spindle                                                                                                          ['Hspa2']                               
R-MMU-8953897   Cellular responses to stimuli                                                                                            ['Hspa2', 'Ar', 'Trp53', 'Fbxl17']      
GO:2000774      positive regulation of cellular senescence                                                                               ['Trp53']                               
GO:0036003      positive regulation of transcription from RNA polymerase II promoter in response to stress                               ['Trp53']                               
GO:0005667      transcription regulator complex                                                                                          ['Pou3f1', 'Junb', 'Sox6', 'Dach1', 'Npas4', 'Trp53', 'Smad4', 'Pou2f1']
GO:2000772      regulation of cellular senescence                                                                                        ['Trp53']                               
GO:0043011      myeloid dendritic cell differentiation                                                                                   ['Relb', 'Camk4']                       
GO:0044877      protein-containing complex binding                                                                                       ['Itga7', 'Rad18', 'Rtn4r', 'Npas4', 'Cdk5rap1', 'Prickle1', 'Maf', 'Prr7', 'Sdcbp', 'Dlg4', 'Panx2']
GO:0045211      postsynaptic membrane                                                                                                    ['Kctd12', 'Erbb4', 'Gabra5', 'Prr7', 'Dlg4']
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Kitl', 'Mapk4', 'Gfra1', 'Prkg2', 'Foxo1', 'Erbb4', 'Ar', 'Dlg4']
R-MMU-210745    Regulation of gene expression in beta cells                                                                              ['Foxo1']                               
GO:0140252      regulation protein catabolic process at postsynapse                                                                      ['Trim3']                               
GO:0004674      protein serine/threonine kinase activity                                                                                 ['Dclk3', 'Mapk4', 'Prkg2', 'Nek7', 'Camk4', 'Cdk17', 'Camkv']
GO:0005080      protein kinase C binding                                                                                                 ['Dact1', 'Pdlim5']                     
GO:0098909      regulation of cardiac muscle cell action potential involved in regulation of contraction                                 ['Fgf13']                               
GO:1903723      negative regulation of centriole elongation                                                                              ['Ccp110']                              
R-MMU-196854    Metabolism of vitamins and cofactors                                                                                     ['Prkg2', 'Ar']                         
GO:0034707      chloride channel complex                                                                                                 ['Gabra5']                              
R-MMU-437239    Recycling pathway of L1                                                                                                  ['Numb']                                
GO:0005164      tumor necrosis factor receptor binding                                                                                   ['Babam2']                              
R-MMU-69580     p53-Dependent G1/S DNA damage checkpoint                                                                                 ['Trp53']                               
GO:0030010      establishment of cell polarity                                                                                           ['Prickle1']                            
R-MMU-5173214   O-glycosylation of TSR domain-containing proteins                                                                        ['Adamts5', 'Adamts15']                 
GO:0030218      erythrocyte differentiation                                                                                              ['Sox6']                                
GO:0050839      cell adhesion molecule binding                                                                                           ['Itga7', 'Sdcbp']                      
GO:0051019      mitogen-activated protein kinase binding                                                                                 ['Prkg2', 'Mical2']                     
R-MMU-5693606   DNA Double Strand Break Response                                                                                         ['Babam2', 'Trp53']                     
GO:0032525      somite rostral/caudal axis specification                                                                                 ['Smad4']                               
GO:0032436      positive regulation of proteasomal ubiquitin-dependent protein catabolic process                                         ['Prickle1']                            
GO:0002763      positive regulation of myeloid leukocyte differentiation                                                                 ['Kitl']                                
GO:2000269      regulation of fibroblast apoptotic process                                                                               ['Trp53']                               
GO:0072205      metanephric collecting duct development                                                                                  ['Calb1', 'Ar']                         
GO:0072046      establishment of planar polarity involved in nephron morphogenesis                                                       ['Erbb4']                               
GO:0019661      glucose catabolic process to lactate via pyruvate                                                                        ['Trp53']                               
GO:0021849      neuroblast division in subventricular zone                                                                               ['Numb']                                
GO:0051258      protein polymerization                                                                                                   ['Mid1ip1']                             
GO:0048242      epinephrine secretion                                                                                                    ['Vip']                                 
GO:0004994      somatostatin receptor activity                                                                                           ['Sstr1']                               
GO:0048678      response to axon injury                                                                                                  ['Nppc']                                
GO:0032330      regulation of chondrocyte differentiation                                                                                ['Shox2', 'Maf']                        
GO:0051787      misfolded protein binding                                                                                                ['Hspa2']                               
GO:0005743      mitochondrial inner membrane                                                                                             ['Mpst', 'Mtg1', 'Coq4', 'Pls3', 'Ar']  
GO:0097154      GABAergic neuron differentiation                                                                                         ['Bhlhe22']                             
GO:0045880      positive regulation of smoothened signaling pathway                                                                      ['Shox2']                               
GO:0006261      DNA-dependent DNA replication                                                                                            ['Rfc3']                                
GO:0006346      DNA methylation-dependent heterochromatin formation                                                                      ['Tex15']                               
GO:0046881      positive regulation of follicle-stimulating hormone secretion                                                            ['Smad4']                               
GO:0021960      anterior commissure morphogenesis                                                                                        ['Bhlhe22']                             
GO:0051971      positive regulation of transmission of nerve impulse                                                                     ['Cartpt']                              
GO:0007405      neuroblast proliferation                                                                                                 ['Hhip', 'Trp53', 'Numb']               
R-MMU-4090294   SUMOylation of intracellular receptors                                                                                   ['Ar']                                  
GO:0000987      cis-regulatory region sequence-specific DNA binding                                                                      ['Sox6', 'Trp53']                       
GO:0006914      autophagy                                                                                                                ['Foxo1', 'Trp53']                      
GO:0022617      extracellular matrix disassembly                                                                                         ['Adamts5', 'Adamts15']                 
GO:0005216      monoatomic ion channel activity                                                                                          ['Gabra5', 'Kcnq5', 'Kcna6']            
GO:0005262      calcium channel activity                                                                                                 ['Orai3']                               
GO:0070194      synaptonemal complex disassembly                                                                                         ['Hspa2']                               
GO:0090148      membrane fission                                                                                                         ['Sept8']                               
GO:0048147      negative regulation of fibroblast proliferation                                                                          ['Dach1', 'Trp53']                      
GO:0050840      extracellular matrix binding                                                                                             ['Adamts5', 'Adamts15', 'Pgs1']         
GO:0005739      mitochondrion                                                                                                            ['Acadl', 'Mtus1', 'Top1mt', 'Asl', 'Mpst', 'Tfb2m', 'Mtg1', 'Coq4', 'Fars2', 'Hspa2', 'Cdk5rap1', 'Erbb4', 'Pls3', 'Pde12', 'Ar', 'Trp53', 'Tarsl2', 'Armcx3', 'Tmem14a', 'Pgs1']
GO:0010977      negative regulation of neuron projection development                                                                     ['Rtn4r', 'Rit2']                       
GO:0004715      non-membrane spanning protein tyrosine kinase activity                                                                   ['Peak1']                               
GO:0061029      eyelid development in camera-type eye                                                                                    ['Prickle1']                            
GO:0005643      nuclear pore                                                                                                             ['Eif5a2']                              
GO:0045669      positive regulation of osteoblast differentiation                                                                        ['Nppc', 'Hey1']                        
GO:0045165      cell fate commitment                                                                                                     ['Sox6', 'Erbb4']                       
R-MMU-194068    Bile acid and bile salt metabolism                                                                                       ['Osbp']                                
GO:0050808      synapse organization                                                                                                     ['Dact1', 'Elfn1']                      
GO:0008203      cholesterol metabolic process                                                                                            ['Ar']                                  
R-MMU-9013420   RHOU GTPase cycle                                                                                                        ['Peak1']                               
GO:0044389      ubiquitin-like protein ligase binding                                                                                    ['Prr7']                                
GO:0032230      positive regulation of synaptic transmission, GABAergic                                                                  ['Erbb4']                               
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Gmnn', 'Cxxc5', 'Lmo3', 'Wfs1']       
R-MMU-110314    Recognition of DNA damage by PCNA-containing replication complex                                                         ['Rad18', 'Pole4', 'Rfc3']              
GO:0043240      Fanconi anaemia nuclear complex                                                                                          ['Fance', 'Faap100']                    
GO:0019346      transsulfuration                                                                                                         ['Mpst']                                
GO:1902952      positive regulation of dendritic spine maintenance                                                                       ['Zfp804a']                             
GO:0001533      cornified envelope                                                                                                       ['Kazn']                                
GO:0060079      excitatory postsynaptic potential                                                                                        ['Npas4']                               
GO:0072331      signal transduction by p53 class mediator                                                                                ['Trp53']                               
R-MMU-1638091   Heparan sulfate/heparin (HS-GAG) metabolism                                                                              ['Pgs1']                                
R-MMU-2559586   DNA Damage/Telomere Stress Induced Senescence                                                                            ['Trp53']                               
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Sstr1']                               
R-MMU-6804759   Regulation of TP53 Activity through Association with Co-factors                                                          ['Trp53']                               
GO:0046545      development of primary female sexual characteristics                                                                     ['Dach1']                               
GO:0006417      regulation of translation                                                                                                ['Mtg1']                                
GO:0002143      tRNA wobble position uridine thiolation                                                                                  ['Ctu2']                                
GO:0060736      prostate gland growth                                                                                                    ['Ar']                                  
GO:0001708      cell fate specification                                                                                                  ['Myl2']                                
GO:0010466      negative regulation of peptidase activity                                                                                ['Spink10', 'Spint2']                   
GO:0008343      adult feeding behavior                                                                                                   ['Cartpt']                              
GO:0032049      cardiolipin biosynthetic process                                                                                         ['Pls3', 'Pgs1']                        
GO:0016328      lateral plasma membrane                                                                                                  ['Fgf13', 'Prickle2']                   
GO:0000403      Y-form DNA binding                                                                                                       ['Rad18']                               
GO:0098962      regulation of postsynaptic neurotransmitter receptor activity                                                            ['Homer3']                              
GO:0004829      threonine-tRNA ligase activity                                                                                           ['Tarsl2']                              
GO:0032435      negative regulation of proteasomal ubiquitin-dependent protein catabolic process                                         ['Sdcbp']                               
R-MMU-5607764   CLEC7A (Dectin-1) signaling                                                                                              ['Relb']                                
GO:0097113      AMPA glutamate receptor clustering                                                                                       ['Dlg4']                                
R-MMU-381771    Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)                                                ['Gng13']                               
GO:0030910      olfactory placode formation                                                                                              ['Pou2f1']                              
GO:0090307      mitotic spindle assembly                                                                                                 ['Prickle1']                            
GO:0097061      dendritic spine organization                                                                                             ['Dlg4']                                
GO:0050806      positive regulation of synaptic transmission                                                                             ['Calb1', 'Dlg4']                       
GO:1903817      negative regulation of voltage-gated potassium channel activity                                                          ['Kcnab1']                              
GO:0045184      establishment of protein localization                                                                                    ['Prickle1', 'Dlg4']                    
GO:0070534      protein K63-linked ubiquitination                                                                                        ['Trim3']                               
R-MMU-111933    Calmodulin induced events                                                                                                ['Camk4', 'Pde1b']                      
GO:0035162      embryonic hemopoiesis                                                                                                    ['Kitl']                                
GO:0031398      positive regulation of protein ubiquitination                                                                            ['Wfs1', 'Prickle1']                    
GO:0048708      astrocyte differentiation                                                                                                ['Sox6', 'Dab1']                        
GO:0090090      negative regulation of canonical Wnt signaling pathway                                                                   ['Pcp2', 'Nkd1', 'Dact1', 'Foxo1', 'Prickle1', 'Egr1', 'Rbms3', 'Rapgef1']
GO:1903892      negative regulation of ATF6-mediated unfolded protein response                                                           ['Wfs1']                                
GO:0001816      cytokine production                                                                                                      ['Maf']                                 
GO:0044305      calyx of Held                                                                                                            ['Calb1', 'Kcnq5']                      
GO:0008270      zinc ion binding                                                                                                         ['Hhip', 'Adamts5', 'Calb1', 'Vat1l', 'Peg10', 'Usp39', 'Cxxc5', 'Mmp17', 'Polr3k', 'Prickle1', 'Adamts15', 'Ar', 'Egr1', 'Zfp37', 'Ubr7', 'Nr2f6', 'Ece1', 'Cdadc1', 'Trim3', 'Prickle2']
GO:0021987      cerebral cortex development                                                                                              ['Lhx2']                                
R-MMU-2565942   Regulation of PLK1 Activity at G2/M Transition                                                                           ['Haus3', 'Ccp110']                     
GO:0043486      histone exchange                                                                                                         ['Spty2d1']                             
GO:0009897      external side of plasma membrane                                                                                         ['Itga7', 'Gfra1', 'Rtn4r', 'Ece1']     
GO:0047372      acylglycerol lipase activity                                                                                             ['Mgll']                                
GO:2000379      positive regulation of reactive oxygen species metabolic process                                                         ['Trp53']                               
GO:0030672      synaptic vesicle membrane                                                                                                ['Wfs1']                                
R-MMU-2467813   Separation of Sister Chromatids                                                                                          ['Pttg1']                               
GO:0000724      double-strand break repair via homologous recombination                                                                  ['Palb2', 'Tex15', 'Rmi1']              
GO:0070887      cellular response to chemical stimulus                                                                                   ['Cpne9', 'Syt10']                      
GO:0006954      inflammatory response                                                                                                    ['Relb', 'Camk4']                       
R-MMU-3858494   Beta-catenin independent WNT signaling                                                                                   ['Gng13', 'Prickle1']                   
GO:0098759      cellular response to interleukin-8                                                                                       ['Egr1']                                
R-MMU-1250347   SHC1 events in ERBB4 signaling                                                                                           ['Erbb4']                               
GO:0006282      regulation of DNA repair                                                                                                 ['Babam2']                              
GO:0006334      nucleosome assembly                                                                                                      ['Spty2d1']                             
GO:0044528      regulation of mitochondrial mRNA stability                                                                               ['Pde12']                               
GO:1902236      negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway                        ['Wfs1']                                
GO:0008033      tRNA processing                                                                                                          ['Fars2', 'Cdk5rap1', 'Ctu2']           
GO:0051028      mRNA transport                                                                                                           ['Eif5a2', 'Peg10']                     
GO:0070253      somatostatin secretion                                                                                                   ['Cartpt']                              
GO:0035725      sodium ion transmembrane transport                                                                                       ['Slc5a5', 'Fxyd7', 'Hecw2']            
GO:0098656      monoatomic anion transmembrane transport                                                                                 ['Slc5a5']                              
GO:0031396      regulation of protein ubiquitination                                                                                     ['Fbxo2']                               
R-MMU-8866376   Reelin signalling pathway                                                                                                ['Dab1']                                
GO:0050681      nuclear androgen receptor binding                                                                                        ['Ar']                                  
GO:0072110      glomerular mesangial cell proliferation                                                                                  ['Egr1']                                
GO:0001702      gastrulation with mouth forming second                                                                                   ['Dact1', 'Smad4']                      
GO:0097009      energy homeostasis                                                                                                       ['Irx3']                                
GO:0005254      chloride channel activity                                                                                                ['Gabra5']                              
GO:0097512      cardiac myofibril                                                                                                        ['Myl2']                                
GO:0060769      positive regulation of epithelial cell proliferation involved in prostate gland development                              ['Ar']                                  
GO:0043267      negative regulation of potassium ion transport                                                                           ['Vip']                                 
GO:1901379      regulation of potassium ion transmembrane transport                                                                      ['Kcnab1']                              
GO:1900227      positive regulation of NLRP3 inflammasome complex assembly                                                               ['Nek7']                                
GO:1990138      neuron projection extension                                                                                              ['Prickle1']                            
GO:0009972      cytidine deamination                                                                                                     ['Cdadc1']                              
GO:0046875      ephrin receptor binding                                                                                                  ['Sdcbp']                               
GO:0050769      positive regulation of neurogenesis                                                                                      ['Numb']                                
R-MMU-199991    Membrane Trafficking                                                                                                     ['Ar']                                  
R-MMU-5696399   Global Genome Nucleotide Excision Repair (GG-NER)                                                                        ['Pole4', 'Rfc3']                       
GO:0006183      GTP biosynthetic process                                                                                                 ['Nme5']                                
GO:0007606      sensory perception of chemical stimulus                                                                                  ['Olfr920']                             
GO:0008283      cell population proliferation                                                                                            ['Kitl', 'Junb', 'Erbb4', 'Ar', 'Trp53', 'Fgf13', 'Smad4']
GO:0045182      translation regulator activity                                                                                           ['Trim3']                               
GO:0045197      establishment or maintenance of epithelial cell apical/basal polarity                                                    ['Prickle2', 'Dlg4']                    
GO:0001735      prenylcysteine oxidase activity                                                                                          ['Pcyox1']                              
GO:0017015      regulation of transforming growth factor beta receptor signaling pathway                                                 ['Sdcbp', 'Smad4']                      
GO:0055010      ventricular cardiac muscle tissue morphogenesis                                                                          ['Myl2']                                
R-MMU-391251    Protein folding                                                                                                          ['Gng13']                               
GO:0006511      ubiquitin-dependent protein catabolic process                                                                            ['Fbxo2']                               
GO:0004535      poly(A)-specific ribonuclease activity                                                                                   ['Pde12']                               
GO:1901605      alpha-amino acid metabolic process                                                                                       ['Mpst']                                
R-MMU-76061     RNA Polymerase III Transcription Initiation From Type 1 Promoter                                                         ['Polr3k']                              
GO:0003360      brainstem development                                                                                                    ['Smad4']                               
R-MMU-376172    DSCAM interactions                                                                                                       ['Dscaml1']                             
GO:0051480      regulation of cytosolic calcium ion concentration                                                                        ['Calb1']                               
GO:0046332      SMAD binding                                                                                                             ['Smad4']                               
R-MMU-1592389   Activation of Matrix Metalloproteinases                                                                                  ['Mmp17']                               
GO:0005813      centrosome                                                                                                               ['Haus3', 'Rad18', 'Relb', 'Fance', 'Katnb1', 'Trp53', 'Mtus2', 'Ccp110', 'Smad4', 'Rabl6', 'Pgs1']
