Molecular/Biological/Cellular Ontology Terms: 

GO:0033189      response to vitamin A                                                                                                    ['Rbp1', 'Lipa']                        
GO:0005509      calcium ion binding                                                                                                      ['Dgkb', 'Calb1', 'Ryr3', 'Slit2', 'Rph3a']
GO:0004860      protein kinase inhibitor activity                                                                                        ['Mbip']                                
R-MMU-112315    Transmission across Chemical Synapses                                                                                    ['Rbp1']                                
GO:0090260      negative regulation of retinal ganglion cell axon guidance                                                               ['Slit2']                               
GO:0046330      positive regulation of JNK cascade                                                                                       ['Mbip']                                
R-MMU-156580    Phase II - Conjugation of compounds                                                                                      ['As3mt']                               
GO:0050731      positive regulation of peptidyl-tyrosine phosphorylation                                                                 ['Cck', 'Nrp1']                         
GO:0017154      semaphorin receptor activity                                                                                             ['Nrp1', 'Nrp2']                        
GO:1990708      conditioned place preference                                                                                             ['Csmd1']                               
GO:0006930      substrate-dependent cell migration, cell extension                                                                       ['Nrp1']                                
GO:0033623      regulation of integrin activation                                                                                        ['Fblim1']                              
R-MMU-1296346   Tandem pore domain potassium channels                                                                                    ['Kcnk9']                               
GO:0071872      cellular response to epinephrine stimulus                                                                                ['Atp2b4']                              
GO:0007409      axonogenesis                                                                                                             ['Cck', 'Slit2', 'Stxbp5']              
GO:0030159      signaling receptor complex adaptor activity                                                                              ['Shb']                                 
GO:0005499      vitamin D binding                                                                                                        ['Calb1']                               
GO:0050998      nitric-oxide synthase binding                                                                                            ['Atp2b4']                              
GO:0099567      calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration                           ['Calb1']                               
GO:0007413      axonal fasciculation                                                                                                     ['Nrp1']                                
GO:0019841      retinol binding                                                                                                          ['Rbp1']                                
R-MMU-1296071   Potassium Channels                                                                                                       ['Kcnk9']                               
GO:0031005      filamin binding                                                                                                          ['Fblim1']                              
GO:2000986      negative regulation of behavioral fear response                                                                          ['Cck']                                 
GO:0035726      common myeloid progenitor cell proliferation                                                                             ['Lipa']                                
GO:0032091      negative regulation of protein binding                                                                                   ['Ifit2']                               
GO:0060047      heart contraction                                                                                                        ['Rps6ka2']                             
GO:0035556      intracellular signal transduction                                                                                        ['Dgkb', 'Rps6ka2']                     
GO:0007205      protein kinase C-activating G protein-coupled receptor signaling pathway                                                 ['Cck', 'Dgkb']                         
R-MMU-216083    Integrin cell surface interactions                                                                                       ['Itga6']                               
GO:0002138      retinoic acid biosynthetic process                                                                                       ['Rbp1']                                
GO:1902751      positive regulation of cell cycle G2/M phase transition                                                                  ['Cdc25a']                              
GO:0071944      cell periphery                                                                                                           ['Fblim1']                              
R-MMU-418359    Reduction of cytosolic Ca++ levels                                                                                       ['Atp2b4']                              
R-MMU-936837    Ion transport by P-type ATPases                                                                                          ['Atp2b4']                              
GO:0014069      postsynaptic density                                                                                                     ['Sipa1l1']                             
GO:0070182      DNA polymerase binding                                                                                                   ['Cdk2ap1']                             
GO:0043524      negative regulation of neuron apoptotic process                                                                          ['Foxb1', 'Unc5b', 'Nrp1']              
GO:2000300      regulation of synaptic vesicle exocytosis                                                                                ['Stxbp5']                              
GO:0010976      positive regulation of neuron projection development                                                                     ['Itga6']                               
GO:0021675      nerve development                                                                                                        ['Nrp1', 'Nrp2']                        
GO:0035729      cellular response to hepatocyte growth factor stimulus                                                                   ['Nrp1']                                
GO:0030425      dendrite                                                                                                                 ['Tanc1', 'Cck', 'Calb1']               
GO:0033627      cell adhesion mediated by integrin                                                                                       ['Itga6']                               
GO:0060982      coronary artery morphogenesis                                                                                            ['Nrp1']                                
GO:0060578      superior vena cava morphogenesis                                                                                         ['Pitx2']                               
GO:0007274      neuromuscular synaptic transmission                                                                                      ['Rbp1']                                
R-MMU-453279    Mitotic G1 phase and G1/S transition                                                                                     ['Cdc25a']                              
GO:0015085      calcium ion transmembrane transporter activity                                                                           ['Atp2b4']                              
R-MMU-418346    Platelet homeostasis                                                                                                     ['Atp2b4']                              
GO:0048471      perinuclear region of cytoplasm                                                                                          ['Ryr3', 'Cdk2ap1']                     
GO:0072687      meiotic spindle                                                                                                          ['Rps6ka2']                             
GO:0005667      transcription regulator complex                                                                                          ['Pitx2', 'Mafb', 'Aatf']               
GO:0031929      TOR signaling                                                                                                            ['Lipa']                                
GO:0099173      postsynapse organization                                                                                                 ['Nrp1']                                
GO:0045211      postsynaptic membrane                                                                                                    ['Dgkb', 'Rph3a', 'Nrp1', 'Nrp2']       
GO:0044877      protein-containing complex binding                                                                                       ['Itga6', 'Mafb', 'Sipa1l1', 'Rph3a']   
R-MMU-453274    Mitotic G2-G2/M phases                                                                                                   ['Cdc25a']                              
GO:0030334      regulation of cell migration                                                                                             ['Pitx2', 'Frmd5']                      
R-MMU-194315    Signaling by Rho GTPases                                                                                                 ['Rbp1']                                
GO:0043237      laminin-1 binding                                                                                                        ['Slit2']                               
GO:0098850      extrinsic component of synaptic vesicle membrane                                                                         ['Rph3a']                               
GO:1904056      positive regulation of cholangiocyte proliferation                                                                       ['Cdc25a']                              
GO:0016485      protein processing                                                                                                       ['Mafb']                                
GO:0004674      protein serine/threonine kinase activity                                                                                 ['Rps6ka2']                             
GO:0031267      small GTPase binding                                                                                                     ['Rbp1', 'Rph3a']                       
R-MMU-194138    Signaling by VEGF                                                                                                        ['Shb', 'Nrp1', 'Nrp2']                 
GO:0090027      negative regulation of monocyte chemotaxis                                                                               ['Slit2']                               
GO:0043197      dendritic spine                                                                                                          ['Calb1', 'Sipa1l1', 'Rph3a']           
R-MMU-196854    Metabolism of vitamins and cofactors                                                                                     ['Rbp1']                                
R-MMU-9010553   Regulation of expression of SLITs and ROBOs                                                                              ['Slit2']                               
GO:0048666      neuron development                                                                                                       ['Nrp1']                                
GO:1902336      positive regulation of retinal ganglion cell axon guidance                                                               ['Nrp1']                                
GO:0001935      endothelial cell proliferation                                                                                           ['Lipa']                                
GO:0007595      lactation                                                                                                                ['Foxb1']                               
GO:0005524      ATP binding                                                                                                              ['Rbp1', 'Dgkb', 'Atp2b4', 'Rps6ka2', 'Dhx40']
GO:1903243      negative regulation of cardiac muscle hypertrophy in response to stress                                                  ['Atp2b4']                              
GO:0001656      metanephros development                                                                                                  ['Slit2']                               
GO:0010807      regulation of synaptic vesicle priming                                                                                   ['Stxbp5']                              
R-MMU-69610     p53-Independent DNA Damage Response                                                                                      ['Cdc25a']                              
GO:0072205      metanephric collecting duct development                                                                                  ['Calb1']                               
GO:0032437      cuticular plate                                                                                                          ['Calb1']                               
GO:0044154      histone H3-K14 acetylation                                                                                               ['Mbip']                                
R-MMU-264642    Acetylcholine Neurotransmitter Release Cycle                                                                             ['Rbp1']                                
GO:0046500      S-adenosylmethionine metabolic process                                                                                   ['Amd2']                                
GO:0031532      actin cytoskeleton reorganization                                                                                        ['Sipa1l1']                             
GO:0051015      actin filament binding                                                                                                   ['Sipa1l1']                             
GO:0042572      retinol metabolic process                                                                                                ['Rbp1']                                
GO:1905322      positive regulation of mesenchymal stem cell migration                                                                   ['Onecut2']                             
GO:0005783      endoplasmic reticulum                                                                                                    ['Ifit2', 'Ryr3']                       
GO:2001241      positive regulation of extrinsic apoptotic signaling pathway in absence of ligand                                        ['Unc5b']                               
GO:0016125      sterol metabolic process                                                                                                 ['Lipa']                                
GO:0006816      calcium ion transport                                                                                                    ['Ryr3', 'Atp2b4']                      
GO:0071679      commissural neuron axon guidance                                                                                         ['Nrp1']                                
GO:0043021      ribonucleoprotein complex binding                                                                                        ['Pitx2']                               
GO:0050708      regulation of protein secretion                                                                                          ['Stxbp5']                              
GO:0017075      syntaxin-1 binding                                                                                                       ['Stxbp5']                              
GO:1902287      semaphorin-plexin signaling pathway involved in axon guidance                                                            ['Nrp1']                                
GO:0038189      neuropilin signaling pathway                                                                                             ['Nrp1']                                
GO:0050918      positive chemotaxis                                                                                                      ['Nrp1']                                
GO:0051971      positive regulation of transmission of nerve impulse                                                                     ['Cartpt']                              
GO:0042472      inner ear morphogenesis                                                                                                  ['Mafb']                                
GO:1902285      semaphorin-plexin signaling pathway involved in neuron projection guidance                                               ['Nrp1', 'Nrp2']                        
GO:0008305      integrin complex                                                                                                         ['Itga6']                               
GO:0030216      keratinocyte differentiation                                                                                             ['Mafb']                                
GO:0030154      cell differentiation                                                                                                     ['Foxb1', 'Shb', 'Slit2', 'Nrp1', 'Nrp2']
GO:0036486      ventral trunk neural crest cell migration                                                                                ['Nrp1', 'Nrp2']                        
GO:0031018      endocrine pancreas development                                                                                           ['Onecut2']                             
GO:0007399      nervous system development                                                                                               ['Slit2', 'Nrp1', 'Nrp2']               
GO:0048557      embryonic digestive tract morphogenesis                                                                                  ['Pitx2']                               
GO:0005216      monoatomic ion channel activity                                                                                          ['Ryr3']                                
GO:0031594      neuromuscular junction                                                                                                   ['Rph3a', 'Stxbp5']                     
GO:0005262      calcium channel activity                                                                                                 ['Ryr3']                                
GO:0042221      response to chemical                                                                                                     ['Cartpt']                              
GO:1905319      mesenchymal stem cell migration                                                                                          ['Onecut2']                             
GO:0048539      bone marrow development                                                                                                  ['Lipa']                                
R-MMU-202733    Cell surface interactions at the vascular wall                                                                           ['Itga6']                               
GO:0007165      signal transduction                                                                                                      ['Unc5b', 'Rbp1', 'Grm2', 'Dgkb']       
GO:0007040      lysosome organization                                                                                                    ['Lipa']                                
GO:0001934      positive regulation of protein phosphorylation                                                                           ['Rbp1', 'Cdk2ap1']                     
GO:0005739      mitochondrion                                                                                                            ['Rbp1', 'As3mt', 'Nrp1']               
GO:0001784      phosphotyrosine residue binding                                                                                          ['Shb']                                 
GO:0045944      positive regulation of transcription by RNA polymerase II                                                                ['Pitx2', 'Onecut2', 'Itga6', 'Mafb', 'Aatf']
GO:0045624      positive regulation of T-helper cell differentiation                                                                     ['Shb']                                 
R-MMU-176187    Activation of ATR in response to replication stress                                                                      ['Cdc25a']                              
GO:0099534      calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration                            ['Calb1']                               
GO:0016358      dendrite development                                                                                                     ['Nrp1']                                
GO:0005215      transporter activity                                                                                                     ['Atp2b4']                              
GO:0004014      adenosylmethionine decarboxylase activity                                                                                ['Amd2']                                
GO:0015276      ligand-gated ion channel activity                                                                                        ['Ryr3']                                
GO:0004711      ribosomal protein S6 kinase activity                                                                                     ['Rps6ka2']                             
R-MMU-1299316   TWIK-releated acid-sensitive K+ channel (TASK)                                                                           ['Kcnk9']                               
GO:0045165      cell fate commitment                                                                                                     ['Onecut2']                             
R-MMU-420499    Class C/3 (Metabotropic glutamate/pheromone receptors)                                                                   ['Grm2']                                
R-MMU-69278     Cell Cycle, Mitotic                                                                                                      ['Cdc25a']                              
R-MMU-69620     Cell Cycle Checkpoints                                                                                                   ['Cdc25a']                              
R-MMU-76002     Platelet activation, signaling and aggregation                                                                           ['Dgkb']                                
GO:0008203      cholesterol metabolic process                                                                                            ['Lipa']                                
GO:0043005      neuron projection                                                                                                        ['Grm2', 'Calb1', 'Sipa1l1', 'Rph3a', 'Nrp1']
GO:0005789      endoplasmic reticulum membrane                                                                                           ['Ryr3']                                
GO:0061072      iris morphogenesis                                                                                                       ['Pitx2']                               
GO:0021972      corticospinal neuron axon guidance through spinal cord                                                                   ['Slit2']                               
GO:0007049      cell cycle                                                                                                               ['Cdc25a']                              
GO:0051894      positive regulation of focal adhesion assembly                                                                           ['Nrp1']                                
R-MMU-5576891   Cardiac conduction                                                                                                       ['Ryr3', 'Kcnk9', 'Atp2b4']             
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Pitx2']                               
GO:0008333      endosome to lysosome transport                                                                                           ['Lipa']                                
GO:0019915      lipid storage                                                                                                            ['Lipa']                                
R-MMU-9013148   CDC42 GTPase cycle                                                                                                       ['Rbp1']                                
GO:0140199      negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process      ['Atp2b4']                              
GO:0007216      G protein-coupled glutamate receptor signaling pathway                                                                   ['Grm2']                                
GO:0035924      cellular response to vascular endothelial growth factor stimulus                                                         ['Nrp1']                                
GO:0009887      animal organ morphogenesis                                                                                               ['Pitx2']                               
GO:0110032      positive regulation of G2/MI transition of meiotic cell cycle                                                            ['Cdc25a']                              
R-MMU-500792    GPCR ligand binding                                                                                                      ['Cck', 'Grm2']                         
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Nrp2']                                
GO:0033138      positive regulation of peptidyl-serine phosphorylation                                                                   ['Atp2b4']                              
GO:0060325      face morphogenesis                                                                                                       ['Cdk2ap1']                             
GO:0038132      neuregulin binding                                                                                                       ['Itga6']                               
GO:0007626      locomotory behavior                                                                                                      ['Calb1']                               
GO:0070374      positive regulation of ERK1 and ERK2 cascade                                                                             ['Nrp1']                                
GO:0016788      hydrolase activity, acting on ester bonds                                                                                ['Lipa']                                
GO:0016829      lyase activity                                                                                                           ['Amd2']                                
GO:0003350      pulmonary myocardium development                                                                                         ['Pitx2']                               
GO:0071676      negative regulation of mononuclear cell migration                                                                        ['Slit2']                               
GO:0097374      sensory neuron axon guidance                                                                                             ['Nrp1', 'Nrp2']                        
GO:0005811      lipid droplet                                                                                                            ['Rbp1']                                
GO:0000166      nucleotide binding                                                                                                       ['Rbp1', 'Dgkb', 'Atp2b4', 'Rps6ka2', 'Dhx40']
GO:0022409      positive regulation of cell-cell adhesion                                                                                ['Itga6']                               
GO:0099092      postsynaptic density, intracellular component                                                                            ['Tanc1']                               
GO:0005773      vacuole                                                                                                                  ['Ryr3']                                
GO:0051881      regulation of mitochondrial membrane potential                                                                           ['Lipa']                                
GO:0005575      cellular_component                                                                                                       ['Nxph4', 'Tmem196', 'Csmd1', 'Gse1']   
R-MMU-1266738   Developmental Biology                                                                                                    ['Slit2', 'Nrp1']                       
GO:0007616      long-term memory                                                                                                         ['Calb1']                               
GO:0008343      adult feeding behavior                                                                                                   ['Cartpt']                              
GO:0042159      lipoprotein catabolic process                                                                                            ['Lipa']                                
GO:0042573      retinoic acid metabolic process                                                                                          ['Rbp1']                                
GO:0048167      regulation of synaptic plasticity                                                                                        ['Calb1', 'Sipa1l1']                    
GO:0030315      T-tubule                                                                                                                 ['Atp2b4']                              
GO:0005095      GTPase inhibitor activity                                                                                                ['Slit2']                               
GO:0003724      RNA helicase activity                                                                                                    ['Dhx40']                               
GO:0030901      midbrain development                                                                                                     ['Foxb1']                               
GO:0030301      cholesterol transport                                                                                                    ['Lipa']                                
GO:1902806      regulation of cell cycle G1/S phase transition                                                                           ['Atp2b4']                              
GO:0043010      camera-type eye development                                                                                              ['Pitx2']                               
GO:0033554      cellular response to stress                                                                                              ['Grm2']                                
GO:0031589      cell-substrate adhesion                                                                                                  ['Itga6']                               
GO:0031076      embryonic camera-type eye development                                                                                    ['Pitx2']                               
GO:0061669      spontaneous neurotransmitter secretion                                                                                   ['Rph3a']                               
GO:0043537      negative regulation of blood vessel endothelial cell migration                                                           ['Atp2b4']                              
GO:0006886      intracellular protein transport                                                                                          ['Rph3a']                               
GO:0060666      dichotomous subdivision of terminal units involved in salivary gland branching                                           ['Nrp1']                                
GO:0002244      hematopoietic progenitor cell differentiation                                                                            ['Lipa']                                
GO:0055015      ventricular cardiac muscle cell development                                                                              ['Pitx2']                               
GO:0042327      positive regulation of phosphorylation                                                                                   ['Itga6', 'Nrp1']                       
GO:0009306      protein secretion                                                                                                        ['Stxbp5']                              
R-MMU-375276    Peptide ligand-binding receptors                                                                                         ['Cck']                                 
GO:0097061      dendritic spine organization                                                                                             ['Rph3a']                               
GO:0050806      positive regulation of synaptic transmission                                                                             ['Calb1']                               
GO:0007614      short-term memory                                                                                                        ['Calb1']                               
GO:0099147      extrinsic component of postsynaptic density membrane                                                                     ['Dgkb']                                
R-MMU-1474244   Extracellular matrix organization                                                                                        ['Itga6']                               
GO:0050852      T cell receptor signaling pathway                                                                                        ['Shb']                                 
GO:0097491      sympathetic neuron projection guidance                                                                                   ['Nrp1', 'Nrp2']                        
GO:0045178      basal part of cell                                                                                                       ['Itga6']                               
GO:1900753      doxorubicin transport                                                                                                    ['Rbp1']                                
GO:0045777      positive regulation of blood pressure                                                                                    ['Cartpt']                              
GO:0002064      epithelial cell development                                                                                              ['Onecut2']                             
GO:0043534      blood vessel endothelial cell migration                                                                                  ['Nrp1']                                
GO:0098686      hippocampal mossy fiber to CA3 synapse                                                                                   ['Calb1', 'Stxbp5']                     
GO:0021572      rhombomere 6 development                                                                                                 ['Mafb']                                
GO:0001952      regulation of cell-matrix adhesion                                                                                       ['Onecut2']                             
R-MMU-373755    Semaphorin interactions                                                                                                  ['Nrp1']                                
GO:0030217      T cell differentiation                                                                                                   ['Lipa']                                
GO:0004386      helicase activity                                                                                                        ['Dhx40']                               
GO:0005219      ryanodine-sensitive calcium-release channel activity                                                                     ['Ryr3']                                
GO:0001816      cytokine production                                                                                                      ['Lipa']                                
GO:0044305      calyx of Held                                                                                                            ['Rbp1', 'Calb1']                       
GO:0000287      magnesium ion binding                                                                                                    ['Rps6ka2']                             
GO:0035136      forelimb morphogenesis                                                                                                   ['Sall3']                               
GO:0008270      zinc ion binding                                                                                                         ['Calb1', 'Rph3a']                      
GO:0007275      multicellular organism development                                                                                       ['Pitx2', 'Unc5b', 'Shb', 'Slit2', 'Nrp1', 'Nrp2']
GO:1990845      adaptive thermogenesis                                                                                                   ['Lipa']                                
GO:0008295      spermidine biosynthetic process                                                                                          ['Amd2']                                
GO:0001822      kidney development                                                                                                       ['Slit2']                               
GO:0007224      smoothened signaling pathway                                                                                             ['Sall3']                               
GO:0050873      brown fat cell differentiation                                                                                           ['Itga6']                               
GO:0016887      ATP hydrolysis activity                                                                                                  ['Atp2b4']                              
GO:0009897      external side of plasma membrane                                                                                         ['Itga6']                               
GO:0045019      negative regulation of nitric oxide biosynthetic process                                                                 ['Atp2b4']                              
GO:0002536      respiratory burst involved in inflammatory response                                                                      ['Lipa']                                
GO:0045766      positive regulation of angiogenesis                                                                                      ['Nrp1']                                
GO:0031201      SNARE complex                                                                                                            ['Stxbp5']                              
GO:0015271      outward rectifier potassium channel activity                                                                             ['Kcnk9']                               
GO:0006915      apoptotic process                                                                                                        ['Unc5b', 'Ifit2', 'Shb']               
GO:0030672      synaptic vesicle membrane                                                                                                ['Rph3a']                               
GO:0060603      mammary gland duct morphogenesis                                                                                         ['Slit2']                               
GO:0015908      fatty acid transport                                                                                                     ['Rbp1']                                
GO:0051481      negative regulation of cytosolic calcium ion concentration                                                               ['Ryr3']                                
GO:0009986      cell surface                                                                                                             ['Itga6', 'Slit2', 'Nrp1']              
GO:0006954      inflammatory response                                                                                                    ['Lipa']                                
GO:0030156      benzodiazepine receptor binding                                                                                          ['Rbp1']                                
GO:1903249      negative regulation of citrulline biosynthetic process                                                                   ['Atp2b4']                              
GO:0051058      negative regulation of small GTPase mediated signal transduction                                                         ['Slit2']                               
GO:0070253      somatostatin secretion                                                                                                   ['Cartpt']                              
GO:0005267      potassium channel activity                                                                                               ['Kcnk9']                               
GO:0009611      response to wounding                                                                                                     ['Nrp1']                                
GO:0046685      response to arsenic-containing substance                                                                                 ['As3mt']                               
GO:0097009      energy homeostasis                                                                                                       ['Lipa']                                
GO:0006887      exocytosis                                                                                                               ['Rph3a', 'Stxbp5']                     
GO:0038085      vascular endothelial growth factor binding                                                                               ['Nrp1']                                
GO:1990837      sequence-specific double-stranded DNA binding                                                                            ['Foxb1', 'Pitx2', 'Onecut2', 'Mafb']   
GO:0021855      hypothalamus cell migration                                                                                              ['Foxb1', 'Pitx2']                      
GO:0014068      positive regulation of phosphatidylinositol 3-kinase signaling                                                           ['Unc5b']                               
GO:0008021      synaptic vesicle                                                                                                         ['Kcnk9', 'Rph3a', 'Stxbp5']            
R-MMU-388396    GPCR downstream signalling                                                                                               ['Cck', 'Grm2', 'Dgkb']                 
GO:1902083      negative regulation of peptidyl-cysteine S-nitrosylation                                                                 ['Atp2b4']                              
GO:0046875      ephrin receptor binding                                                                                                  ['Sipa1l1']                             
R-MMU-109582    Hemostasis                                                                                                               ['Dgkb', 'Itga6', 'Atp2b4']             
GO:0016740      transferase activity                                                                                                     ['Dgkb', 'As3mt', 'Rps6ka2']            
GO:0007268      chemical synaptic transmission                                                                                           ['Cartpt', 'Calb1']                     
GO:0008283      cell population proliferation                                                                                            ['Lipa']                                
GO:0007346      regulation of mitotic cell cycle                                                                                         ['Rprm', 'Aatf']                        
R-MMU-5689880   Ub-specific processing proteases                                                                                         ['Cdc25a']                              
GO:0016918      retinal binding                                                                                                          ['Rbp1']                                
R-MMU-1474290   Collagen formation                                                                                                       ['Itga6']                               
GO:0001756      somitogenesis                                                                                                            ['Foxb1']                               
GO:0016298      lipase activity                                                                                                          ['Lipa']                                
GO:0061031      endodermal digestive tract morphogenesis                                                                                 ['Pitx2']                               
GO:0061549      sympathetic ganglion development                                                                                         ['Nrp1', 'Nrp2']                        
R-MMU-9709957   Sensory Perception                                                                                                       ['Rbp1']                                
GO:0045785      positive regulation of cell adhesion                                                                                     ['Frmd5']                               
GO:0051480      regulation of cytosolic calcium ion concentration                                                                        ['Calb1', 'Atp2b4']                     
R-MMU-5576886   Phase 4 - resting membrane potential                                                                                     ['Kcnk9']                               
GO:1903409      reactive oxygen species biosynthetic process                                                                             ['Lipa']                                
GO:0021785      branchiomotor neuron axon guidance                                                                                       ['Nrp1']                                
GO:0019905      syntaxin binding                                                                                                         ['Stxbp5']                              
GO:0018872      arsonoacetate metabolic process                                                                                          ['As3mt']                               
GO:0048873      homeostasis of number of cells within a tissue                                                                           ['Lipa']                                
GO:0021510      spinal cord development                                                                                                  ['Foxb1']                               
GO:0071805      potassium ion transmembrane transport                                                                                    ['Kcnk9']                               
GO:0014912      negative regulation of smooth muscle cell migration                                                                      ['Slit2']                               
GO:0021772      olfactory bulb development                                                                                               ['Slit2']                               
GO:0097490      sympathetic neuron projection extension                                                                                  ['Nrp1', 'Nrp2']                        
GO:0000122      negative regulation of transcription by RNA polymerase II                                                                ['Pitx2']                               
GO:0006641      triglyceride metabolic process                                                                                           ['Lipa']                                
GO:0043394      proteoglycan binding                                                                                                     ['Slit2']                               
R-MMU-399956    CRMPs in Sema3A signaling                                                                                                ['Nrp1']                                
GO:0042098      T cell proliferation                                                                                                     ['Lipa']                                
GO:0048754      branching morphogenesis of an epithelial tube                                                                            ['Slit2']                               
GO:0050919      negative chemotaxis                                                                                                      ['Slit2', 'Nrp2']                       
GO:0031994      insulin-like growth factor I binding                                                                                     ['Itga6']                               
GO:0030322      stabilization of membrane potential                                                                                      ['Kcnk9']                               
GO:0090043      regulation of tubulin deacetylation                                                                                      ['Mbip']                                
GO:0000082      G1/S transition of mitotic cell cycle                                                                                    ['Cdc25a']                              
GO:0004016      adenylate cyclase activity                                                                                               ['Grm2']                                
GO:0005096      GTPase activator activity                                                                                                ['Rbp1', 'Sipa1l1', 'Nrp1', 'Stxbp5']   
GO:0021983      pituitary gland development                                                                                              ['Pitx2']                               
GO:0010971      positive regulation of G2/M transition of mitotic cell cycle                                                             ['Cdc25a']                              
GO:0033993      response to lipid                                                                                                        ['Lipa']                                
GO:0050770      regulation of axonogenesis                                                                                               ['Sipa1l1']                             
GO:0070613      regulation of protein processing                                                                                         ['Rps6ka2']                             
GO:0007520      myoblast fusion                                                                                                          ['Tanc1']                               
GO:0060460      left lung morphogenesis                                                                                                  ['Pitx2']                               
GO:0005504      fatty acid binding                                                                                                       ['Rbp1']                                
GO:1904768      all-trans-retinol binding                                                                                                ['Rbp1']                                
GO:0090024      negative regulation of neutrophil chemotaxis                                                                             ['Slit2']                               
GO:0014047      glutamate secretion                                                                                                      ['Grm2']                                
GO:0038190      VEGF-activated neuropilin signaling pathway                                                                              ['Nrp1']                                
GO:0008045      motor neuron axon guidance                                                                                               ['Slit2', 'Nrp1']                       
GO:0004721      phosphoprotein phosphatase activity                                                                                      ['Cdc25a']                              
GO:0035137      hindlimb morphogenesis                                                                                                   ['Sall3']                               
GO:0021763      subthalamic nucleus development                                                                                          ['Pitx2']                               
GO:0016773      phosphotransferase activity, alcohol group as acceptor                                                                   ['Dgkb']                                
GO:0042476      odontogenesis                                                                                                            ['Pitx2']                               
GO:0021794      thalamus development                                                                                                     ['Foxb1']                               
GO:0008150      biological_process                                                                                                       ['Nxph4', 'Tmem196', 'Arl6ip6', 'Gse1'] 
GO:0061441      renal artery morphogenesis                                                                                               ['Nrp1']                                
GO:0043966      histone H3 acetylation                                                                                                   ['Mbip']                                
GO:0065008      regulation of biological quality                                                                                         ['Cartpt']                              
GO:0048846      axon extension involved in axon guidance                                                                                 ['Slit2', 'Nrp1', 'Nrp2']               
GO:0021828      gonadotrophin-releasing hormone neuronal migration to the hypothalamus                                                   ['Nrp1', 'Nrp2']                        
GO:0014048      regulation of glutamate secretion                                                                                        ['Grm2']                                
R-MMU-418594    G alpha (i) signalling events                                                                                            ['Grm2']                                
GO:0006355      regulation of DNA-templated transcription                                                                                ['Foxb1', 'Pitx2', 'Mbip', 'Mafb']      
GO:0044297      cell body                                                                                                                ['Rbp1']                                
GO:0048935      peripheral nervous system neuron development                                                                             ['Onecut2']                             
