Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Neurod1', 'Pax6', 'Zbtb18']           
GO:1990782      protein tyrosine kinase binding                                                                                          ['Vim']                                 
GO:0007219      Notch signaling pathway                                                                                                  ['Neurod4']                             
GO:1905564      positive regulation of vascular endothelial cell proliferation                                                           ['Mdk']                                 
GO:0007409      axonogenesis                                                                                                             ['Pax6']                                
GO:0045590      negative regulation of regulatory T cell differentiation                                                                 ['Mdk']                                 
GO:1900147      regulation of Schwann cell migration                                                                                     ['Vim']                                 
GO:0098727      maintenance of cell number                                                                                               ['Zic1']                                
GO:0019827      stem cell population maintenance                                                                                         ['Nfix', 'Nfib']                        
GO:0042246      tissue regeneration                                                                                                      ['Mdk']                                 
GO:0035556      intracellular signal transduction                                                                                        ['Mdk']                                 
GO:1905653      positive regulation of artery morphogenesis                                                                              ['Mdk']                                 
GO:0030540      female genitalia development                                                                                             ['Chd7']                                
GO:0000792      heterochromatin                                                                                                          ['Zbtb18']                              
GO:0070182      DNA polymerase binding                                                                                                   ['Cdk2ap1']                             
GO:0043524      negative regulation of neuron apoptotic process                                                                          ['Btg2', 'Mdk', 'Nfix']                 
GO:0010976      positive regulation of neuron projection development                                                                     ['Mdk']                                 
GO:0030425      dendrite                                                                                                                 ['Cnn3']                                
GO:0048668      collateral sprouting                                                                                                     ['Nfix']                                
GO:0030279      negative regulation of ossification                                                                                      ['Mdk']                                 
GO:0009952      anterior/posterior pattern specification                                                                                 ['Btg2', 'Neurod1', 'Pax6']             
GO:0060411      cardiac septum morphogenesis                                                                                             ['Chd7']                                
R-MMU-453279    Mitotic G1 phase and G1/S transition                                                                                     ['Ccnd2']                               
GO:0007015      actin filament organization                                                                                              ['Cnn3']                                
GO:0035881      amacrine cell differentiation                                                                                            ['Neurod4', 'Neurod1']                  
GO:0021798      forebrain dorsal/ventral pattern formation                                                                               ['Pax6']                                
GO:0043162      ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway                                ['Vps37b']                              
GO:0030182      neuron differentiation                                                                                                   ['Btg2', 'Pax6', 'Insm1', 'Nfix']       
GO:0048471      perinuclear region of cytoplasm                                                                                          ['Vim', 'Cdk2ap1']                      
GO:2000249      regulation of actin cytoskeleton reorganization                                                                          ['Mdk']                                 
GO:0040018      positive regulation of multicellular organism growth                                                                     ['Chd7']                                
GO:0005667      transcription regulator complex                                                                                          ['Pax6', 'Insm1']                       
GO:0045211      postsynaptic membrane                                                                                                    ['Lzts1']                               
GO:2000179      positive regulation of neural precursor cell proliferation                                                               ['Insm1', 'Mdk']                        
GO:0030334      regulation of cell migration                                                                                             ['Pax6']                                
R-MMU-194315    Signaling by Rho GTPases                                                                                                 ['Vim']                                 
GO:0009966      regulation of signal transduction                                                                                        ['Igfbpl1']                             
GO:0061141      lung ciliated cell differentiation                                                                                       ['Nfib']                                
GO:0044838      cell quiescence                                                                                                          ['Nfix', 'Nfib', 'Nfia']                
GO:0009950      dorsal/ventral axis specification                                                                                        ['Pax6']                                
GO:0043197      dendritic spine                                                                                                          ['Cnn3', 'Lzts1']                       
GO:0048666      neuron development                                                                                                       ['Neurod4', 'Zbtb18']                   
GO:0060179      male mating behavior                                                                                                     ['Nhlh2']                               
GO:0010975      regulation of neuron projection development                                                                              ['Pax6']                                
GO:0022603      regulation of anatomical structure morphogenesis                                                                         ['Lzts1']                               
GO:0005524      ATP binding                                                                                                              ['Abca4', 'Chd7']                       
GO:0010001      glial cell differentiation                                                                                               ['Nfib']                                
GO:0005844      polysome                                                                                                                 ['Vim']                                 
GO:0030316      osteoclast differentiation                                                                                               ['Nfix']                                
GO:0021978      telencephalon regionalization                                                                                            ['Pax6']                                
GO:0007512      adult heart development                                                                                                  ['Chd7']                                
GO:0051015      actin filament binding                                                                                                   ['Cnn3']                                
GO:0042471      ear morphogenesis                                                                                                        ['Chd7']                                
GO:0005783      endoplasmic reticulum                                                                                                    ['Abca4']                               
GO:0032330      regulation of chondrocyte differentiation                                                                                ['Mdk']                                 
GO:0030073      insulin secretion                                                                                                        ['Neurod1']                             
GO:0001221      transcription coregulator binding                                                                                        ['Pax6']                                
GO:0071679      commissural neuron axon guidance                                                                                         ['Nfib']                                
GO:0016607      nuclear speck                                                                                                            ['Zbtb18']                              
GO:0030496      midbody                                                                                                                  ['Vps37b']                              
GO:0021960      anterior commissure morphogenesis                                                                                        ['Nfib']                                
GO:0007405      neuroblast proliferation                                                                                                 ['Neurod4', 'Btg2', 'Pax6', 'Nfix']     
GO:2000347      positive regulation of hepatocyte proliferation                                                                          ['Mdk']                                 
GO:0005882      intermediate filament                                                                                                    ['Vim']                                 
GO:0042472      inner ear morphogenesis                                                                                                  ['Chd7']                                
GO:0030216      keratinocyte differentiation                                                                                             ['Pax6']                                
GO:0060689      cell differentiation involved in salivary gland development                                                              ['Nfib']                                
GO:0030154      cell differentiation                                                                                                     ['Neurod4', 'Neurod1', 'Pax6', 'Nhlh2', 'Insm1', 'Zic5', 'Zic1', 'Mdk', 'Fam210b']
GO:0021740      principal sensory nucleus of trigeminal nerve development                                                                ['Nfib']                                
GO:0031018      endocrine pancreas development                                                                                           ['Neurod1', 'Insm1']                    
GO:0007399      nervous system development                                                                                               ['Neurod4', 'Neurod1', 'Insm1', 'Zic5', 'Zic1']
GO:0021545      cranial nerve development                                                                                                ['Chd7']                                
GO:0007165      signal transduction                                                                                                      ['Igfbpl1']                             
GO:0106091      glial cell projection elongation                                                                                         ['Mdk']                                 
GO:0001934      positive regulation of protein phosphorylation                                                                           ['Ccnd2', 'Cdk2ap1']                    
GO:0005739      mitochondrion                                                                                                            ['Fam210b']                             
GO:0045944      positive regulation of transcription by RNA polymerase II                                                                ['Neurod4', 'Neurod1', 'Pax6', 'Nhlh2', 'Zic1', 'Nfix', 'Chd7', 'Nfib', 'Nfia', 'Zbtb18']
GO:0010977      negative regulation of neuron projection development                                                                     ['Vim']                                 
R-MMU-69278     Cell Cycle, Mitotic                                                                                                      ['Ccnd2']                               
GO:0045165      cell fate commitment                                                                                                     ['Neurod4', 'Neurod1', 'Pax6']          
GO:0061575      cyclin-dependent protein serine/threonine kinase activator activity                                                      ['Ccnd2']                               
GO:0043005      neuron projection                                                                                                        ['Vim']                                 
GO:0061072      iris morphogenesis                                                                                                       ['Pax6']                                
GO:0007049      cell cycle                                                                                                               ['Insm1', 'Zic1', 'Lzts1', 'Ccnd2']     
GO:2000178      negative regulation of neural precursor cell proliferation                                                               ['Pax6']                                
GO:0048806      genitalia development                                                                                                    ['Chd7']                                
GO:0070410      co-SMAD binding                                                                                                          ['Pax6']                                
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Nfia']                                
GO:0014816      skeletal muscle satellite cell differentiation                                                                           ['Nfix']                                
GO:0007010      cytoskeleton organization                                                                                                ['Mdk']                                 
GO:1905555      positive regulation of blood vessel branching                                                                            ['Mdk']                                 
GO:0050773      regulation of dendrite development                                                                                       ['Lzts1']                               
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Pax6']                                
GO:0060325      face morphogenesis                                                                                                       ['Cdk2ap1']                             
GO:0007626      locomotory behavior                                                                                                      ['Chd7']                                
GO:0003310      pancreatic A cell differentiation                                                                                        ['Pax6', 'Insm1']                       
GO:0048856      anatomical structure development                                                                                         ['Pax6']                                
GO:0000166      nucleotide binding                                                                                                       ['Abca4', 'Chd7']                       
GO:0061564      axon development                                                                                                         ['Neurod4', 'Neurod1']                  
GO:0005773      vacuole                                                                                                                  ['Vps37b']                              
GO:0032808      lacrimal gland development                                                                                               ['Pax6']                                
GO:0014002      astrocyte development                                                                                                    ['Vim']                                 
GO:0008306      associative learning                                                                                                     ['Btg2']                                
GO:0007616      long-term memory                                                                                                         ['Ccnd2']                               
GO:2001224      positive regulation of neuron migration                                                                                  ['Pax6', 'Mdk']                         
GO:0016538      cyclin-dependent protein serine/threonine kinase regulator activity                                                      ['Ccnd2']                               
GO:0048167      regulation of synaptic plasticity                                                                                        ['Lzts1']                               
GO:2000795      negative regulation of epithelial cell proliferation involved in lung morphogenesis                                      ['Nfib']                                
GO:0043009      chordate embryonic development                                                                                           ['Chd7']                                
GO:0043010      camera-type eye development                                                                                              ['Neurod4', 'Neurod1', 'Pax6', 'Nfix', 'Chd7']
GO:0003309      type B pancreatic cell differentiation                                                                                   ['Pax6', 'Insm1']                       
GO:0007417      central nervous system development                                                                                       ['Zic4', 'Zic5', 'Zic1', 'Chd7']        
GO:0021902      commitment of neuronal cell to specific neuron type in forebrain                                                         ['Pax6']                                
R-MMU-9663891   Selective autophagy                                                                                                      ['Vim']                                 
GO:0051091      positive regulation of DNA-binding transcription factor activity                                                         ['Neurod1']                             
R-MMU-6798695   Neutrophil degranulation                                                                                                 ['Mndal']                               
GO:0035909      aorta morphogenesis                                                                                                      ['Chd7']                                
GO:0009786      regulation of asymmetric cell division                                                                                   ['Pax6']                                
GO:0042698      ovulation cycle                                                                                                          ['Nhlh2']                               
GO:0007614      short-term memory                                                                                                        ['Mdk']                                 
GO:0060021      roof of mouth development                                                                                                ['Chd7']                                
GO:0050729      positive regulation of inflammatory response                                                                             ['Mdk']                                 
R-MMU-917729    Endosomal Sorting Complex Required For Transport (ESCRT)                                                                 ['Vps37b']                              
GO:0002064      epithelial cell development                                                                                              ['Pax6']                                
GO:0060252      positive regulation of glial cell proliferation                                                                          ['Vim']                                 
GO:0048708      astrocyte differentiation                                                                                                ['Pax6', 'Nfix']                        
GO:0090090      negative regulation of canonical Wnt signaling pathway                                                                   ['Mdk']                                 
GO:0004386      helicase activity                                                                                                        ['Chd7']                                
GO:0003714      transcription corepressor activity                                                                                       ['Btg2']                                
GO:0030217      T cell differentiation                                                                                                   ['Chd7']                                
GO:0071346      cellular response to type II interferon                                                                                  ['Vim']                                 
GO:0048505      regulation of timing of cell differentiation                                                                             ['Pax6']                                
GO:0000132      establishment of mitotic spindle orientation                                                                             ['Pax6']                                
GO:0002690      positive regulation of leukocyte chemotaxis                                                                              ['Mdk']                                 
GO:0007275      multicellular organism development                                                                                       ['Neurod4', 'Neurod1', 'Pax6', 'Nhlh2', 'Insm1', 'Zic5', 'Zic1', 'Mdk', 'Zbtb18']
GO:0021987      cerebral cortex development                                                                                              ['Pax6', 'Mdk', 'Nfix', 'Zbtb18']       
GO:0060429      epithelium development                                                                                                   ['Nfix', 'Chd7']                        
GO:0007224      smoothened signaling pathway                                                                                             ['Pax6']                                
GO:0016887      ATP hydrolysis activity                                                                                                  ['Abca4', 'Chd7']                       
GO:0006612      protein targeting to membrane                                                                                            ['Vps37b']                              
R-MMU-9013422   RHOBTB1 GTPase cycle                                                                                                     ['Vim']                                 
GO:0006915      apoptotic process                                                                                                        ['Nhlh2']                               
GO:0061303      cornea development in camera-type eye                                                                                    ['Pax6']                                
GO:0060290      transdifferentiation                                                                                                     ['Insm1']                               
GO:0048477      oogenesis                                                                                                                ['Mdk']                                 
GO:0071345      cellular response to cytokine stimulus                                                                                   ['Mndal']                               
GO:0006954      inflammatory response                                                                                                    ['Nfix']                                
GO:0045494      photoreceptor cell maintenance                                                                                           ['Abca4']                               
GO:0007628      adult walking behavior                                                                                                   ['Zic1', 'Chd7']                        
GO:0021593      rhombomere morphogenesis                                                                                                 ['Pax6']                                
GO:0007389      pattern specification process                                                                                            ['Zic1']                                
GO:0009611      response to wounding                                                                                                     ['Mdk', 'Nfix', 'Nfib', 'Nfia']         
GO:0007266      Rho protein signal transduction                                                                                          ['Nfix']                                
GO:0062009      secondary palate development                                                                                             ['Chd7']                                
GO:0021778      oligodendrocyte cell fate specification                                                                                  ['Pax6']                                
GO:1990837      sequence-specific double-stranded DNA binding                                                                            ['Neurod1', 'Pax6', 'Zic4', 'Nhlh2', 'Zic5', 'Zic1', 'Nfix', 'Nfib', 'Zbtb18']
GO:0030225      macrophage differentiation                                                                                               ['Nfix']                                
GO:0035914      skeletal muscle cell differentiation                                                                                     ['Btg2']                                
GO:0045109      intermediate filament organization                                                                                       ['Vim']                                 
GO:0021766      hippocampus development                                                                                                  ['Zic1', 'Mdk', 'Nfix', 'Zbtb18']       
GO:0060730      regulation of intestinal epithelial structure maintenance                                                                ['Neurod1']                             
GO:0060486      club cell differentiation                                                                                                ['Nfib']                                
GO:0010838      positive regulation of keratinocyte proliferation                                                                        ['Mdk']                                 
R-MMU-199991    Membrane Trafficking                                                                                                     ['Vps37b']                              
GO:0007268      chemical synaptic transmission                                                                                           ['Lzts1']                               
GO:0008283      cell population proliferation                                                                                            ['Btg2', 'Pax6', 'Insm1', 'Nfib']       
GO:0021846      cell proliferation in forebrain                                                                                          ['Nfix', 'Nfib']                        
GO:0044772      mitotic cell cycle phase transition                                                                                      ['Ccnd2']                               
GO:0002286      T cell activation involved in immune response                                                                            ['Mdk']                                 
GO:0061549      sympathetic ganglion development                                                                                         ['Insm1']                               
R-MMU-9709957   Sensory Perception                                                                                                       ['Abca4']                               
GO:0045785      positive regulation of cell adhesion                                                                                     ['Mdk']                                 
GO:0042307      positive regulation of protein import into nucleus                                                                       ['Zic1']                                
GO:0009749      response to glucose                                                                                                      ['Neurod1']                             
GO:0043254      regulation of protein-containing complex assembly                                                                        ['Insm1']                               
GO:0030325      adrenal gland development                                                                                                ['Mdk']                                 
GO:1903774      positive regulation of viral budding via host ESCRT complex                                                              ['Vps37b']                              
GO:0048873      homeostasis of number of cells within a tissue                                                                           ['Nfix']                                
GO:0021772      olfactory bulb development                                                                                               ['Pax6', 'Zic1', 'Nfix', 'Chd7']        
GO:0021510      spinal cord development                                                                                                  ['Zic1', 'Nfix']                        
GO:0014033      neural crest cell differentiation                                                                                        ['Zic5']                                
GO:0000122      negative regulation of transcription by RNA polymerase II                                                                ['Btg2', 'Pax6', 'Insm1', 'Nfix', 'Nfib', 'Zbtb18']
GO:0022027      interkinetic nuclear migration                                                                                           ['Pax6']                                
GO:0005200      structural constituent of cytoskeleton                                                                                   ['Vim']                                 
GO:0032780      negative regulation of ATP-dependent activity                                                                            ['Cnn3']                                
GO:0003007      heart morphogenesis                                                                                                      ['Chd7']                                
GO:0048709      oligodendrocyte differentiation                                                                                          ['Neurod4', 'Nfix']                     
GO:0030509      BMP signaling pathway                                                                                                    ['Nfia']                                
GO:0003690      double-stranded DNA binding                                                                                              ['Mndal', 'Neurod1', 'Pax6', 'Nfib']    
GO:0035108      limb morphogenesis                                                                                                       ['Nfia']                                
GO:0000082      G1/S transition of mitotic cell cycle                                                                                    ['Ccnd2']                               
GO:0070412      R-SMAD binding                                                                                                           ['Pax6']                                
R-MMU-69231     Cyclin D associated events in G1                                                                                         ['Ccnd2']                               
R-MMU-5653656   Vesicle-mediated transport                                                                                               ['Vps37b']                              
GO:0072189      ureter development                                                                                                       ['Nfia']                                
GO:0021983      pituitary gland development                                                                                              ['Pax6']                                
GO:0046982      protein heterodimerization activity                                                                                      ['Neurod1']                             
GO:0007601      visual perception                                                                                                        ['Abca4']                               
GO:0002218      activation of innate immune response                                                                                     ['Mndal']                               
GO:0050770      regulation of axonogenesis                                                                                               ['Vim']                                 
GO:0035035      histone acetyltransferase binding                                                                                        ['Pax6']                                
GO:0010008      endosome membrane                                                                                                        ['Vps37b']                              
GO:0098598      learned vocalization behavior or vocal learning                                                                          ['Pax6']                                
GO:0014009      glial cell proliferation                                                                                                 ['Nfix', 'Nfib', 'Nfia']                
GO:0021670      lateral ventricle development                                                                                            ['Nfix']                                
GO:2000791      negative regulation of mesenchymal cell proliferation involved in lung development                                       ['Nfib']                                
GO:0001501      skeletal system development                                                                                              ['Zic1', 'Nfix', 'Chd7']                
GO:0031175      neuron projection development                                                                                            ['Btg2', 'Vim']                         
GO:0001894      tissue homeostasis                                                                                                       ['Nfix', 'Nfib']                        
GO:0045737      positive regulation of cyclin-dependent protein serine/threonine kinase activity                                         ['Ccnd2']                               
GO:0005212      structural constituent of eye lens                                                                                       ['Vim']                                 
GO:0006364      rRNA processing                                                                                                          ['Chd7']                                
R-MMU-382556    ABC-family proteins mediated transport                                                                                   ['Abca4']                               
GO:0043488      regulation of mRNA stability                                                                                             ['Vim']                                 
GO:0006355      regulation of DNA-templated transcription                                                                                ['Neurod4', 'Neurod1', 'Pax6', 'Nfix', 'Nfib', 'Nfia']
GO:0044297      cell body                                                                                                                ['Vim', 'Lzts1']                        
GO:0051781      positive regulation of cell division                                                                                     ['Mdk']                                 
GO:0019901      protein kinase binding                                                                                                   ['Pax6', 'Ccnd2']                       
GO:0006306      DNA methylation                                                                                                          ['Pax6']                                
GO:0071673      positive regulation of smooth muscle cell chemotaxis                                                                     ['Mdk']                                 
GO:0044849      estrous cycle                                                                                                            ['Mdk']                                 
GO:0000902      cell morphogenesis                                                                                                       ['Nfix', 'Nfia']                        
GO:1900087      positive regulation of G1/S transition of mitotic cell cycle                                                             ['Ccnd2']                               
R-MMU-73857     RNA Polymerase II Transcription                                                                                          ['Btg2', 'Ccnd2']                       
GO:0090023      positive regulation of neutrophil chemotaxis                                                                             ['Mdk']                                 
GO:0043584      nose development                                                                                                         ['Chd7']                                
GO:0005615      extracellular space                                                                                                      ['Igfbpl1']                             
GO:0000979      RNA polymerase II core promoter sequence-specific DNA binding                                                            ['Pax6']                                
GO:0001933      negative regulation of protein phosphorylation                                                                           ['Pax6', 'Insm1']                       
GO:2000726      negative regulation of cardiac muscle cell differentiation                                                               ['Ccnd2']                               
GO:0007263      nitric oxide mediated signal transduction                                                                                ['Neurod1']                             
GO:0006338      chromatin remodeling                                                                                                     ['Pax6', 'Chd7']                        
GO:0001650      fibrillar center                                                                                                         ['Nfib']                                
R-MMU-2187338   Visual phototransduction                                                                                                 ['Abca4']                               
GO:0021861      forebrain radial glial cell differentiation                                                                              ['Nfix']                                
GO:0008015      blood circulation                                                                                                        ['Chd7']                                
GO:0006869      lipid transport                                                                                                          ['Abca4']                               
GO:1904937      sensory neuron migration                                                                                                 ['Pax6']                                
GO:0017148      negative regulation of translation                                                                                       ['Btg2']                                
GO:0050679      positive regulation of epithelial cell proliferation                                                                     ['Ccnd2']                               
GO:0048306      calcium-dependent protein binding                                                                                        ['Vps37b']                              
GO:0006357      regulation of transcription by RNA polymerase II                                                                         ['Pax6', 'Zic4', 'Nhlh2', 'Zic5', 'Zic1', 'Nfix', 'Nfib', 'Nfia', 'Cdk2ap1', 'Zbtb18']
GO:0003323      type B pancreatic cell development                                                                                       ['Insm1']                               
GO:0045202      synapse                                                                                                                  ['Lzts1']                               
GO:0007605      sensory perception of sound                                                                                              ['Chd7']                                
GO:0046426      negative regulation of receptor signaling pathway via JAK-STAT                                                           ['Neurod1']                             
GO:0006468      protein phosphorylation                                                                                                  ['Pax6', 'Ccnd2']                       
GO:0048813      dendrite morphogenesis                                                                                                   ['Lzts1']                               
GO:0045893      positive regulation of DNA-templated transcription                                                                       ['Neurod1', 'Pax6', 'Zic1', 'Mdk', 'Nfib', 'Nfia']
GO:0048752      semicircular canal morphogenesis                                                                                         ['Chd7']                                
GO:0140359      ABC-type transporter activity                                                                                            ['Abca4']                               
R-MMU-6804115   TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain         ['Btg2']                                
GO:0035904      aorta development                                                                                                        ['Chd7']                                
GO:0043392      negative regulation of DNA binding                                                                                       ['Nfib']                                
GO:0045892      negative regulation of DNA-templated transcription                                                                       ['Zbtb18']                              
GO:0048562      embryonic organ morphogenesis                                                                                            ['Neurod1']                             
GO:0060510      type II pneumocyte differentiation                                                                                       ['Nfib']                                
GO:0006974      DNA damage response                                                                                                      ['Btg2']                                
GO:0051302      regulation of cell division                                                                                              ['Zbtb18']                              
GO:0004693      cyclin-dependent protein serine/threonine kinase activity                                                                ['Ccnd2']                               
GO:2000647      negative regulation of stem cell proliferation                                                                           ['Nfib']                                
GO:0010759      positive regulation of macrophage chemotaxis                                                                             ['Mdk']                                 
GO:0098978      glutamatergic synapse                                                                                                    ['Cnn3', 'Lzts1']                       
GO:0010467      gene expression                                                                                                          ['Pax6', 'Zic1', 'Nfix', 'Chd7', 'Nfib', 'Nfia']
GO:0005516      calmodulin binding                                                                                                       ['Cnn3']                                
GO:0030858      positive regulation of epithelial cell differentiation                                                                   ['Pax6']                                
GO:0090575      RNA polymerase II transcription regulator complex                                                                        ['Neurod1']                             
GO:0001750      photoreceptor outer segment                                                                                              ['Abca4']                               
GO:0097475      motor neuron migration                                                                                                   ['Neurod4']                             
GO:0060123      regulation of growth hormone secretion                                                                                   ['Chd7']                                
GO:0048854      brain morphogenesis                                                                                                      ['Nfix']                                
GO:0008134      transcription factor binding                                                                                             ['Mndal']                               
GO:0009617      response to bacterium                                                                                                    ['Chd7', 'Nfib']                        
GO:0005737      cytoplasm                                                                                                                ['Mndal', 'Btg2', 'Neurod1', 'Pax6', 'Vim', 'Zic1', 'Lzts1', 'Ccnd2', 'Cdk2ap1', 'Vps37b']
GO:0005576      extracellular region                                                                                                     ['Igfbpl1', 'Mdk']                      
GO:0006623      protein targeting to vacuole                                                                                             ['Vps37b']                              
GO:0048596      embryonic camera-type eye morphogenesis                                                                                  ['Pax6']                                
GO:0097110      scaffold protein binding                                                                                                 ['Vim']                                 
GO:0003779      actin binding                                                                                                            ['Cnn3']                                
GO:0030421      defecation                                                                                                               ['Mdk']                                 
GO:0003222      ventricular trabecula myocardium morphogenesis                                                                           ['Chd7']                                
R-MMU-168249    Innate Immune System                                                                                                     ['Mndal']                               
GO:0003226      right ventricular compact myocardium morphogenesis                                                                       ['Chd7']                                
GO:0008285      negative regulation of cell population proliferation                                                                     ['Btg2', 'Insm1']                       
R-MMU-6791312   TP53 Regulates Transcription of Cell Cycle Genes                                                                         ['Btg2']                                
R-MMU-9716542   Signaling by Rho GTPases, Miro GTPases and RHOBTB3                                                                       ['Vim']                                 
GO:0048714      positive regulation of oligodendrocyte differentiation                                                                   ['Mdk']                                 
GO:0031625      ubiquitin protein ligase binding                                                                                         ['Pax6']                                
GO:0007162      negative regulation of cell adhesion                                                                                     ['Mdk']                                 
GO:0014016      neuroblast differentiation                                                                                               ['Nfix']                                
GO:0006325      chromatin organization                                                                                                   ['Chd7']                                
GO:0140347      N-retinylidene-phosphatidylethanolamine flippase activity                                                                ['Abca4']                               
GO:0001764      neuron migration                                                                                                         ['Pax6']                                
GO:0001227      DNA-binding transcription repressor activity, RNA polymerase II-specific                                                 ['Pax6', 'Insm1', 'Zbtb18']             
GO:0090555      phosphatidylethanolamine flippase activity                                                                               ['Abca4']                               
R-MMU-5357801   Programmed Cell Death                                                                                                    ['Vim']                                 
GO:0005768      endosome                                                                                                                 ['Vps37b']                              
GO:0042626      ATPase-coupled transmembrane transporter activity                                                                        ['Abca4']                               
GO:0045727      positive regulation of translation                                                                                       ['Vim']                                 
GO:1990841      promoter-specific chromatin binding                                                                                      ['Chd7']                                
GO:2000391      positive regulation of neutrophil extravasation                                                                          ['Mdk']                                 
R-MMU-9706574   RHOBTB GTPase Cycle                                                                                                      ['Vim']                                 
GO:0000307      cyclin-dependent protein kinase holoenzyme complex                                                                       ['Ccnd2']                               
GO:0003682      chromatin binding                                                                                                        ['Neurod1', 'Pax6', 'Nfix', 'Chd7', 'Nfia']
GO:0008584      male gonad development                                                                                                   ['Nhlh2']                               
GO:2000679      positive regulation of transcription regulatory region DNA binding                                                       ['Neurod1']                             
GO:0042421      norepinephrine biosynthetic process                                                                                      ['Insm1']                               
GO:0032967      positive regulation of collagen biosynthetic process                                                                     ['Vim']                                 
GO:0051216      cartilage development                                                                                                    ['Nfia']                                
GO:0006909      phagocytosis                                                                                                             ['Nfix']                                
GO:0005886      plasma membrane                                                                                                          ['Abca4', 'Vim', 'Lzts1', 'Vps37b']     
GO:0140014      mitotic nuclear division                                                                                                 ['Btg2', 'Ccnd2']                       
GO:0021707      cerebellar granule cell differentiation                                                                                  ['Nfix']                                
R-MMU-3700989   Transcriptional Regulation by TP53                                                                                       ['Btg2']                                
GO:0031490      chromatin DNA binding                                                                                                    ['Pax6', 'Insm1']                       
GO:0005502      11-cis retinal binding                                                                                                   ['Abca4']                               
GO:0035374      chondroitin sulfate binding                                                                                              ['Mdk']                                 
GO:0048469      cell maturation                                                                                                          ['Nfix']                                
GO:0060213      positive regulation of nuclear-transcribed mRNA poly(A) tail shortening                                                  ['Btg2']                                
GO:0045666      positive regulation of neuron differentiation                                                                            ['Neurod1']                             
GO:0045335      phagocytic vesicle                                                                                                       ['Vim']                                 
GO:0000785      chromatin                                                                                                                ['Pax6', 'Nhlh2', 'Chd7', 'Ccnd2', 'Cdk2ap1']
GO:0021780      glial cell fate specification                                                                                            ['Nfix', 'Nfib', 'Nfia']                
GO:0030324      lung development                                                                                                         ['Nfib']                                
GO:0060324      face development                                                                                                         ['Chd7']                                
GO:0030902      hindbrain development                                                                                                    ['Neurod1', 'Pax6', 'Nfib']             
GO:1900026      positive regulation of substrate adhesion-dependent cell spreading                                                       ['Mdk']                                 
GO:0010468      regulation of gene expression                                                                                            ['Pax6', 'Insm1', 'Chd7']               
GO:0008589      regulation of smoothened signaling pathway                                                                               ['Zic1']                                
GO:0001755      neural crest cell migration                                                                                              ['Pax6']                                
GO:1990254      keratin filament binding                                                                                                 ['Vim']                                 
GO:0036302      atrioventricular canal development                                                                                       ['Chd7']                                
R-MMU-69236     G1 Phase                                                                                                                 ['Ccnd2']                               
GO:0097129      cyclin D2-CDK4 complex                                                                                                   ['Ccnd2']                               
GO:0106015      negative regulation of inflammatory response to wounding                                                                 ['Mdk']                                 
