Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Prox1', 'Sox2', 'Zfp423', 'Mef2c', 'Nr2f1', 'Mef2a']
R-MMU-9013409   RHOJ GTPase cycle                                                                                                        ['Vangl1', 'Arhgap26', 'Cpne8']         
GO:0030641      regulation of cellular pH                                                                                                ['Mapk3']                               
R-MMU-8953897   Cellular responses to stimuli                                                                                            ['Mapk3', 'Gsr']                        
GO:0005667      transcription regulator complex                                                                                          ['Sox2', 'Creg1', 'Tle1', 'Hivep2', 'Nrbf2', 'Mef2a']
GO:0032587      ruffle membrane                                                                                                          ['Cdkl5']                               
GO:0009235      cobalamin metabolic process                                                                                              ['Mmab']                                
GO:0044877      protein-containing complex binding                                                                                       ['Nefh', 'Tgfb2', 'Zfp423', 'Nefm', 'Irs2', 'Carmil2', 'Myo16', 'Jdp2', 'Homer2']
GO:0045211      postsynaptic membrane                                                                                                    ['Grik3', 'Glra2', 'Sorcs2']            
GO:0051208      sequestering of calcium ion                                                                                              ['Fkbp1b']                              
R-MMU-9013406   RHOQ GTPase cycle                                                                                                        ['Vangl1', 'Arhgap26', 'Cpne8']         
GO:0000303      response to superoxide                                                                                                   ['Ucp2']                                
R-MMU-5683057   MAPK family signaling cascades                                                                                           ['Kitl', 'Dusp6', 'Irs2', 'Pdgfa', 'Syngap1', 'Mapk3']
GO:1905515      non-motile cilium assembly                                                                                               ['Ift57']                               
GO:0140252      regulation protein catabolic process at postsynapse                                                                      ['Trim3']                               
GO:0035720      intraciliary anterograde transport                                                                                       ['Ift57']                               
GO:0042416      dopamine biosynthetic process                                                                                            ['Tgfb2']                               
GO:0004674      protein serine/threonine kinase activity                                                                                 ['Prkch', 'Sgk1', 'Stk32c', 'Mast4', 'Prkcg', 'Stk32b', 'Pim3', 'Mapk3', 'Cdkl5']
GO:0098909      regulation of cardiac muscle cell action potential involved in regulation of contraction                                 ['Rangrf']                              
R-MMU-196854    Metabolism of vitamins and cofactors                                                                                     ['Mthfd2', 'Mmab', 'Gpc1']              
GO:0034707      chloride channel complex                                                                                                 ['Glra2']                               
GO:0090190      positive regulation of branching involved in ureteric bud morphogenesis                                                  ['Vegfa']                               
GO:0075509      endocytosis involved in viral entry into host cell                                                                       ['Jpt2']                                
GO:0032328      alanine transport                                                                                                        ['Slc7a5']                              
GO:1902031      regulation of NADP metabolic process                                                                                     ['Me1']                                 
GO:0030010      establishment of cell polarity                                                                                           ['Lmna']                                
GO:0007193      adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway                                                ['Htr1b', 'Ssr2']                       
GO:0001947      heart looping                                                                                                            ['Ift57', 'Mef2c']                      
R-MMU-5218920   VEGFR2 mediated vascular permeability                                                                                    ['Vav3']                                
GO:0044548      S100 protein binding                                                                                                     ['S100a11']                             
R-MMU-390918    Peroxisomal lipid metabolism                                                                                             ['Eci2']                                
GO:0034451      centriolar satellite                                                                                                     ['Ak5']                                 
GO:0051664      nuclear pore localization                                                                                                ['Lmna']                                
GO:0106070      regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway                                  ['Pde10a']                              
GO:0050839      cell adhesion molecule binding                                                                                           ['Ntng1', 'Tenm4']                      
R-MMU-5693606   DNA Double Strand Break Response                                                                                         ['Kpna2']                               
GO:0051019      mitogen-activated protein kinase binding                                                                                 ['Mapk3']                               
R-MMU-3238698   WNT ligand biogenesis and trafficking                                                                                    ['Wnt9b', 'Wnt4']                       
GO:0032436      positive regulation of proteasomal ubiquitin-dependent protein catabolic process                                         ['Dnajb2']                              
GO:0002763      positive regulation of myeloid leukocyte differentiation                                                                 ['Kitl']                                
GO:0072046      establishment of planar polarity involved in nephron morphogenesis                                                       ['Wnt9b']                               
GO:0031532      actin cytoskeleton reorganization                                                                                        ['Carmil2', 'Atp2c1']                   
R-MMU-982772    Growth hormone receptor signaling                                                                                        ['Mapk3']                               
GO:0097440      apical dendrite                                                                                                          ['Nefh', 'Nsmf']                        
GO:0014037      Schwann cell differentiation                                                                                             ['Gpc1']                                
GO:0090226      regulation of microtubule nucleation by Ran protein signal transduction                                                  ['Rangrf']                              
GO:0004994      somatostatin receptor activity                                                                                           ['Ssr2']                                
GO:1990150      VEGF-A complex                                                                                                           ['Vegfa']                               
GO:0006816      calcium ion transport                                                                                                    ['Atp2c1', 'Mcu']                       
GO:0005743      mitochondrial inner membrane                                                                                             ['Ucp2', 'Mrpl36', 'Exog', 'Mcu']       
GO:0017147      Wnt-protein binding                                                                                                      ['Cthrc1', 'Fzd10']                     
R-MMU-73887     Death Receptor Signalling                                                                                                ['Vav3']                                
GO:0010544      negative regulation of platelet activation                                                                               ['Pdgfa']                               
GO:0007405      neuroblast proliferation                                                                                                 ['Prox1', 'Sox2', 'Vegfa']              
GO:0021895      cerebral cortex neuron differentiation                                                                                   ['Gdpd5']                               
GO:0006959      humoral immune response                                                                                                  ['Mef2c']                               
GO:0000987      cis-regulatory region sequence-specific DNA binding                                                                      ['Mef2c']                               
GO:0031663      lipopolysaccharide-mediated signaling pathway                                                                            ['Mapk3']                               
GO:0006914      autophagy                                                                                                                ['Creg1', 'Nrbf2', 'Dram2']             
GO:0043184      vascular endothelial growth factor receptor 2 binding                                                                    ['Vegfa']                               
GO:0005216      monoatomic ion channel activity                                                                                          ['Grik3', 'Glra2', 'Kcnq4', 'Kcnq3']    
GO:0046549      retinal cone cell development                                                                                            ['Thy1']                                
GO:0005262      calcium channel activity                                                                                                 ['Mcu']                                 
GO:0048147      negative regulation of fibroblast proliferation                                                                          ['Pex2']                                
GO:0005739      mitochondrion                                                                                                            ['Nefh', 'Perp', 'Rab40b', 'Ucp2', 'Sgk1', 'Mthfd2', 'Acot13', 'Nme6', 'Mmab', 'Atic', 'Ccm2', 'Gm2a', 'Pptc7', 'Dck', 'Mapk3', 'Eci2', 'Mrpl36', 'Gsr', 'Prep', 'Me1', 'Exog', 'Nudt9', 'Mcu', 'Lactb']
GO:0001784      phosphotyrosine residue binding                                                                                          ['Mapk3']                               
GO:0010977      negative regulation of neuron projection development                                                                     ['Epha3', 'Rtn4rl1', 'Nr2f1']           
GO:0035019      somatic stem cell population maintenance                                                                                 ['Sox2']                                
R-MMU-70268     Pyruvate metabolism                                                                                                      ['Me1']                                 
GO:0015108      chloride transmembrane transporter activity                                                                              ['Sat1']                                
GO:0045669      positive regulation of osteoblast differentiation                                                                        ['Cthrc1', 'Mef2c', 'Lmna', 'Vegfa', 'Wnt4']
GO:0045165      cell fate commitment                                                                                                     ['Wnt9b', 'Sox2', 'Mef2c', 'Wnt4']      
GO:0046092      deoxycytidine metabolic process                                                                                          ['Dck']                                 
GO:0051378      serotonin binding                                                                                                        ['Htr1b']                               
GO:0032713      negative regulation of interleukin-4 production                                                                          ['Cd83']                                
GO:0050693      LBD domain binding                                                                                                       ['Prox1']                               
R-MMU-194068    Bile acid and bile salt metabolism                                                                                       ['Cyp46a1']                             
GO:0008203      cholesterol metabolic process                                                                                            ['Cyp46a1']                             
R-MMU-9013420   RHOU GTPase cycle                                                                                                        ['Vangl1']                              
GO:0015081      sodium ion transmembrane transporter activity                                                                            ['Slc18a2']                             
GO:0140297      DNA-binding transcription factor binding                                                                                 ['Sox2', 'Mef2c', 'Kpna2', 'Tle1', 'Mapk3', 'Mef2a']
R-MMU-9031628   NGF-stimulated transcription                                                                                             ['Sgk1']                                
GO:0043240      Fanconi anaemia nuclear complex                                                                                          ['Faap100']                             
R-MMU-9013148   CDC42 GTPase cycle                                                                                                       ['Vangl1', 'Arhgap26', 'Cpne8', 'Vav3', 'Arap2']
GO:2000111      positive regulation of macrophage apoptotic process                                                                      ['Mef2c']                               
GO:0043295      glutathione binding                                                                                                      ['Gsr']                                 
GO:0016573      histone acetylation                                                                                                      ['Tada3']                               
GO:0060079      excitatory postsynaptic potential                                                                                        ['Mef2c', 'Atxn1']                      
R-MMU-2871796   FCERI mediated MAPK activation                                                                                           ['Vav3', 'Mapk3']                       
R-MMU-1638091   Heparan sulfate/heparin (HS-GAG) metabolism                                                                              ['Hs3st1', 'Hs6st1', 'Vcan', 'Hgsnat', 'Gpc1']
GO:0030318      melanocyte differentiation                                                                                               ['Mef2c']                               
GO:1990830      cellular response to leukemia inhibitory factor                                                                          ['Nefh']                                
GO:0033138      positive regulation of peptidyl-serine phosphorylation                                                                   ['Vegfa']                               
GO:0060683      regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling                     ['Pdgfa']                               
GO:0003947      (N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity                               ['B4galnt1']                            
R-MMU-8949664   Processing of SMDT1                                                                                                      ['Mcu']                                 
GO:0005811      lipid droplet                                                                                                            ['Rab40b', 'Rab40c']                    
GO:0003707      nuclear steroid receptor activity                                                                                        ['Paqr8']                               
GO:0001823      mesonephros development                                                                                                  ['Wnt4']                                
GO:0015106      bicarbonate transmembrane transporter activity                                                                           ['Sat1']                                
GO:0005902      microvillus                                                                                                              ['Pdgfa']                               
GO:0001708      cell fate specification                                                                                                  ['Sox2']                                
GO:0015140      malate transmembrane transporter activity                                                                                ['Ucp2']                                
GO:0061045      negative regulation of wound healing                                                                                     ['Wnt4']                                
GO:0010466      negative regulation of peptidase activity                                                                                ['Timp3']                               
GO:0060425      lung morphogenesis                                                                                                       ['Mapk3']                               
R-MMU-8956321   Nucleotide salvage                                                                                                       ['Dck']                                 
GO:0016538      cyclin-dependent protein serine/threonine kinase regulator activity                                                      ['Cks1b']                               
GO:0007199      G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger                                 ['Fzd10']                               
GO:0016328      lateral plasma membrane                                                                                                  ['Vangl1']                              
GO:0017134      fibroblast growth factor binding                                                                                         ['Gpc1']                                
GO:0045618      positive regulation of keratinocyte differentiation                                                                      ['Prkch']                               
GO:0099182      presynaptic intermediate filament cytoskeleton                                                                           ['Nefm']                                
GO:0031297      replication fork processing                                                                                              ['Ooep']                                
GO:0034351      negative regulation of glial cell apoptotic process                                                                      ['Prkch']                               
GO:0030910      olfactory placode formation                                                                                              ['Sox2']                                
GO:0055015      ventricular cardiac muscle cell development                                                                              ['Lmna']                                
GO:0003169      coronary vein morphogenesis                                                                                              ['Vegfa']                               
GO:0009786      regulation of asymmetric cell division                                                                                   ['Wnt9b']                               
GO:0000002      mitochondrial genome maintenance                                                                                         ['Mef2a']                               
GO:0004435      phosphatidylinositol phospholipase C activity                                                                            ['Gdpd5']                               
GO:0070858      negative regulation of bile acid biosynthetic process                                                                    ['Prox1']                               
GO:0045184      establishment of protein localization                                                                                    ['Carmil2']                             
GO:0014032      neural crest cell development                                                                                            ['Mapk3']                               
GO:0045591      positive regulation of regulatory T cell differentiation                                                                 ['Carmil2']                             
GO:0070534      protein K63-linked ubiquitination                                                                                        ['Trim3']                               
GO:0042473      outer ear morphogenesis                                                                                                  ['Mapk3']                               
GO:0031954      positive regulation of protein autophosphorylation                                                                       ['Vegfa', 'Pdgfa']                      
R-MMU-111933    Calmodulin induced events                                                                                                ['Prkcg', 'Adcy1']                      
GO:0035162      embryonic hemopoiesis                                                                                                    ['Kitl']                                
R-MMU-77111     Synthesis of Ketone Bodies                                                                                               ['Aacs']                                
GO:0048708      astrocyte differentiation                                                                                                ['Mycn']                                
GO:0090090      negative regulation of canonical Wnt signaling pathway                                                                   ['Cthrc1', 'Sox2', 'Tle1']              
GO:0031398      positive regulation of protein ubiquitination                                                                            ['Dnajb2']                              
R-MMU-373755    Semaphorin interactions                                                                                                  ['Plxna2']                              
R-MMU-163615    PKA activation                                                                                                           ['Adcy1']                               
GO:0048505      regulation of timing of cell differentiation                                                                             ['Gdpd5']                               
GO:0044305      calyx of Held                                                                                                            ['Htr1b', 'Prkcg']                      
GO:0030879      mammary gland development                                                                                                ['Irs2']                                
GO:0002690      positive regulation of leukocyte chemotaxis                                                                              ['Vegfa']                               
GO:0008270      zinc ion binding                                                                                                         ['Prkcg', 'Nr2f1', 'Trim3', 'Zmat1', 'Prep', 'Zmat4']
GO:0007223      Wnt signaling pathway, calcium modulating pathway                                                                        ['Fzd10']                               
GO:0021987      cerebral cortex development                                                                                              ['Sox2']                                
GO:0009897      external side of plasma membrane                                                                                         ['Cd83', 'Thy1', 'Gsr']                 
GO:0045766      positive regulation of angiogenesis                                                                                      ['Vegfa', 'Sash1']                      
GO:0030672      synaptic vesicle membrane                                                                                                ['Slc18a2', 'Slc6a7']                   
GO:0060290      transdifferentiation                                                                                                     ['Mef2c']                               
GO:0070887      cellular response to chemical stimulus                                                                                   ['Cpne7', 'Cpne8']                      
GO:0048477      oogenesis                                                                                                                ['Paqr8']                               
GO:0006954      inflammatory response                                                                                                    ['Chst1', 'Chst2']                      
R-MMU-3858494   Beta-catenin independent WNT signaling                                                                                   ['Fzd10', 'Prkcg', 'Wnt4']              
GO:0006282      regulation of DNA repair                                                                                                 ['Tada3']                               
R-MMU-168898    Toll-like Receptor Cascades                                                                                              ['Dusp6', 'Mapk3']                      
GO:0031103      axon regeneration                                                                                                        ['Nefh']                                
R-MMU-5663213   RHO GTPases Activate WASPs and WAVEs                                                                                     ['Mapk3']                               
GO:0048278      vesicle docking                                                                                                          ['Stx8']                                
GO:0035725      sodium ion transmembrane transport                                                                                       ['Slc6a7']                              
GO:0031396      regulation of protein ubiquitination                                                                                     ['Dnajb2']                              
GO:0010002      cardioblast differentiation                                                                                              ['Tgfb2']                               
GO:0001702      gastrulation with mouth forming second                                                                                   ['Tenm4']                               
GO:0005254      chloride channel activity                                                                                                ['Glra2']                               
GO:0030225      macrophage differentiation                                                                                               ['Ucp2', 'Vegfa']                       
GO:0097155      fasciculation of sensory neuron axon                                                                                     ['Epha3']                               
GO:0032024      positive regulation of insulin secretion                                                                                 ['Irs2', 'Aacs', 'Mcu']                 
GO:0003197      endocardial cushion development                                                                                          ['Epha3']                               
GO:0072102      glomerulus morphogenesis                                                                                                 ['Mef2c']                               
R-MMU-199991    Membrane Trafficking                                                                                                     ['Sh3d19', 'Tpd52']                     
GO:0032425      positive regulation of mismatch repair                                                                                   ['Prkcg']                               
GO:0038083      peptidyl-tyrosine autophosphorylation                                                                                    ['Mapk3']                               
GO:0045182      translation regulator activity                                                                                           ['Prkch', 'Trim3']                      
GO:0006183      GTP biosynthetic process                                                                                                 ['Nme6']                                
GO:0008283      cell population proliferation                                                                                            ['Kitl', 'Prox1', 'Tgfb2', 'Irs2', 'Vegfa', 'Pdgfa', 'Ankrd45', 'Mycn']
GO:0001885      endothelial cell development                                                                                             ['Ccm2']                                
GO:0055010      ventricular cardiac muscle tissue morphogenesis                                                                          ['Prox1']                               
GO:1903238      positive regulation of leukocyte tethering or rolling                                                                    ['Chst2']                               
GO:0042564      NLS-dependent protein nuclear import complex                                                                             ['Kpna2']                               
GO:0006511      ubiquitin-dependent protein catabolic process                                                                            ['Kctd6']                               
R-MMU-5654726   Negative regulation of FGFR1 signaling                                                                                   ['Mapk3']                               
GO:0051480      regulation of cytosolic calcium ion concentration                                                                        ['Fkbp1b']                              
GO:0046332      SMAD binding                                                                                                             ['Mef2a']                               
GO:0043539      protein serine/threonine kinase activator activity                                                                       ['Cks1b']                               
GO:0060231      mesenchymal to epithelial transition                                                                                     ['Wnt4']                                
GO:0005813      centrosome                                                                                                               ['Slc18a2', 'Ift57', 'Plekha7', 'Ndrg1', 'Cdkl5']
GO:0006241      CTP biosynthetic process                                                                                                 ['Nme6']                                
GO:0071805      potassium ion transmembrane transport                                                                                    ['Kcnj6', 'Kcnq4', 'Kcnq3']             
GO:0007198      adenylate cyclase-inhibiting serotonin receptor signaling pathway                                                        ['Htr1b']                               
GO:0072594      establishment of protein localization to organelle                                                                       ['Neurl1b']                             
GO:0009898      cytoplasmic side of plasma membrane                                                                                      ['Pkp4', 'Gm2a']                        
GO:0050919      negative chemotaxis                                                                                                      ['Rtn4rl1', 'Pdgfa']                    
GO:0030509      BMP signaling pathway                                                                                                    ['Tgfb2', 'Mapk3']                      
GO:0003690      double-stranded DNA binding                                                                                              ['Klf6', 'Jdp2']                        
GO:0035050      embryonic heart tube development                                                                                         ['Mef2c']                               
GO:0042056      chemoattractant activity                                                                                                 ['Vegfa']                               
GO:0048703      embryonic viscerocranium morphogenesis                                                                                   ['Mef2c']                               
GO:0004016      adenylate cyclase activity                                                                                               ['Adcy1']                               
GO:1903672      positive regulation of sprouting angiogenesis                                                                            ['Vegfa']                               
GO:0046982      protein heterodimerization activity                                                                                      ['Fzd10', 'Mef2c', 'Pdgfa', 'Jdp2', 'Tenm4', 'Taf13', 'Mef2a']
