Molecular/Biological/Cellular Ontology Terms: 

GO:0006400      tRNA modification                                                                                                        ['Thumpd1']                             
R-MMU-111471    Apoptotic factor-mediated response                                                                                       ['Casp3']                               
GO:0014070      response to organic cyclic compound                                                                                      ['Idh1']                                
GO:0000062      fatty-acyl-CoA binding                                                                                                   ['Acat2']                               
GO:0035255      ionotropic glutamate receptor binding                                                                                    ['Neto2', 'Gria1', 'Cacng2']            
GO:0005667      transcription regulator complex                                                                                          ['Tal1', 'Sox14', 'Lhx1', 'Otx2', 'Sox5', 'Hdac9', 'Tle4', 'Pou3f2', 'Yy1', 'Tcf12']
R-MMU-400042    Adrenaline,noradrenaline inhibits insulin secretion                                                                      ['Gnai2']                               
GO:0006694      steroid biosynthetic process                                                                                             ['Hmgcs1', 'Hmgcr']                     
GO:0002244      hematopoietic progenitor cell differentiation                                                                            ['Srsf4']                               
R-MMU-2179392   EGFR Transactivation by Gastrin                                                                                          ['Prkca']                               
GO:0048812      neuron projection morphogenesis                                                                                          ['Nyap2', 'Srgap2', 'Epb41l3']          
GO:0044057      regulation of system process                                                                                             ['Dlgap1']                              
R-MMU-9013404   RAC2 GTPase cycle                                                                                                        ['Dock4']                               
GO:0040019      positive regulation of embryonic development                                                                             ['Lhx1', 'Otx2']                        
GO:0051649      establishment of localization in cell                                                                                    ['Pard3b']                              
GO:0019464      glycine decarboxylation via glycine cleavage system                                                                      ['Gcsh']                                
GO:0031623      receptor internalization                                                                                                 ['Gria1', 'Cacng2']                     
GO:0050770      regulation of axonogenesis                                                                                               ['Pou3f2']                              
GO:0030687      preribosome, large subunit precursor                                                                                     ['Nsa2']                                
GO:2001107      negative regulation of Rho guanyl-nucleotide exchange factor activity                                                    ['Ripor2']                              
GO:0030433      ubiquitin-dependent ERAD pathway                                                                                         ['Calr']                                
GO:0070382      exocytic vesicle                                                                                                         ['Igf1', 'Dpysl3']                      
GO:0005789      endoplasmic reticulum membrane                                                                                           ['Acat2', 'Gria1', 'Cnih1', 'Calr', 'Spcs2', 'Tkt', 'Hmgcr', 'Ktn1']
GO:0045177      apical part of cell                                                                                                      ['Prkca', 'Fat4']                       
GO:0050714      positive regulation of protein secretion                                                                                 ['Igf1']                                
GO:0006730      one-carbon metabolic process                                                                                             ['Ahcyl1']                              
GO:0005021      vascular endothelial growth factor receptor activity                                                                     ['Nrp2']                                
R-MMU-73887     Death Receptor Signalling                                                                                                ['Casp3']                               
GO:0006749      glutathione metabolic process                                                                                            ['Idh1', 'Glo1']                        
GO:0010761      fibroblast migration                                                                                                     ['Apc']                                 
GO:0051726      regulation of cell cycle                                                                                                 ['Ripor2', 'Btrc', 'Yy1', 'Ccni', 'Yeats4', 'Apc']
GO:0030425      dendrite                                                                                                                 ['Rgs12', 'Adcy8', 'Cabp1', 'Reln', 'Prkca', 'Hnrnpab', 'Dcx', 'Adgrb1', 'Gnai2', 'Gria1', 'Fmr1', 'Magi2', 'Fat3', 'Cplx2', 'Apc', 'Cadm1']
GO:0048697      positive regulation of collateral sprouting in absence of injury                                                         ['Wnt3']                                
GO:0033268      node of Ranvier                                                                                                          ['Spock1']                              
GO:0008157      protein phosphatase 1 binding                                                                                            ['Ppp1cc', 'Phactr1']                   
GO:0048852      diencephalon morphogenesis                                                                                               ['Otx2']                                
GO:1905584      outer hair cell apoptotic process                                                                                        ['Tmtc4']                               
GO:0070273      phosphatidylinositol-4-phosphate binding                                                                                 ['Col4a3bp']                            
R-MMU-8863795   Downregulation of ERBB2 signaling                                                                                        ['Cdc37']                               
GO:0051145      smooth muscle cell differentiation                                                                                       ['Mef2c']                               
GO:0006909      phagocytosis                                                                                                             ['Adgrb1', 'Elmo1']                     
GO:0098815      modulation of excitatory postsynaptic potential                                                                          ['Tmem108']                             
GO:0001656      metanephros development                                                                                                  ['Lhx1']                                
GO:0005768      endosome                                                                                                                 ['Snx4', 'Tmem108', 'Gria1', 'Ociad2', 'Snx2', 'Rhob', 'Magi2']
GO:0000288      nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay                                                ['Cnot7']                               
GO:0045596      negative regulation of cell differentiation                                                                              ['Hopx']                                
GO:0097478      leaflet of membrane bilayer                                                                                              ['Gnai2']                               
GO:0001655      urogenital system development                                                                                            ['Lhx1']                                
GO:0046982      protein heterodimerization activity                                                                                      ['Adcy8', 'Micu1', 'Fmr1', 'Snx2', 'Tcf12', 'Bcl11a', 'Mef2c', 'Srgap2']
GO:0045931      positive regulation of mitotic cell cycle                                                                                ['Tal1', 'Prkca', 'Meis2']              
GO:0045665      negative regulation of neuron differentiation                                                                            ['Cd24a', 'Fmr1', 'Calr', 'Dixdc1']     
GO:0043565      sequence-specific DNA binding                                                                                            ['Foxp2', 'Meis2', 'Zeb1', 'Pou3f2', 'Yy1', 'Foxn3', 'Mef2c', 'Tsn']
GO:0051897      positive regulation of protein kinase B signaling                                                                        ['Igf1', 'Pik3cb']                      
R-MMU-5654704   SHC-mediated cascade:FGFR3                                                                                               ['Fgf9']                                
GO:0030217      T cell differentiation                                                                                                   ['Bcl11a']                              
GO:0031045      dense core granule                                                                                                       ['Scg2']                                
GO:0048643      positive regulation of skeletal muscle tissue development                                                                ['Mef2c', 'Hmgcr']                      
GO:1903904      negative regulation of establishment of T cell polarity                                                                  ['Ripor2']                              
R-MMU-425407    SLC-mediated transmembrane transport                                                                                     ['Slc44a5']                             
R-MMU-201722    Formation of the beta-catenin:TCF transactivating complex                                                                ['Tle4']                                
GO:0007010      cytoskeleton organization                                                                                                ['Ablim1']                              
R-MMU-1257604   PIP3 activates AKT signaling                                                                                             ['Pik3cb', 'Fgf9']                      
GO:0005581      collagen trimer                                                                                                          ['C1ql2', 'C1ql3']                      
R-MMU-5694530   Cargo concentration in the ER                                                                                            ['Gria1', 'Cnih1']                      
R-MMU-8957275   Post-translational protein phosphorylation                                                                               ['Scg2', 'Ktn1']                        
GO:0060022      hard palate development                                                                                                  ['Sox11']                               
GO:0099171      presynaptic modulation of chemical synaptic transmission                                                                 ['Prkca']                               
GO:0021987      cerebral cortex development                                                                                              ['Emx2', 'Reln', 'Fat4', 'Phactr1']     
GO:0051639      actin filament network formation                                                                                         ['Carmil1']                             
R-MMU-380270    Recruitment of mitotic centrosome proteins and complexes                                                                 ['Tubb4a']                              
GO:0060696      regulation of phospholipid catabolic process                                                                             ['Idh1']                                
GO:0098703      calcium ion import across plasma membrane                                                                                ['Fam155a']                             
GO:0050850      positive regulation of calcium-mediated signaling                                                                        ['Cd24a']                               
GO:0033864      positive regulation of NAD(P)H oxidase activity                                                                          ['Gnai2']                               
R-MMU-5625900   RHO GTPases activate CIT                                                                                                 ['Rhob']                                
R-MMU-9013026   RHOB GTPase cycle                                                                                                        ['Rhob']                                
R-MMU-194306    Neurophilin interactions with VEGF and VEGFR                                                                             ['Nrp2']                                
GO:0071498      cellular response to fluid shear stress                                                                                  ['Mef2c']                               
GO:1900087      positive regulation of G1/S transition of mitotic cell cycle                                                             ['Tkt']                                 
R-MMU-449147    Signaling by Interleukins                                                                                                ['Pik3cb', 'Casp3']                     
GO:0016363      nuclear matrix                                                                                                           ['Yy1', 'Tcerg1']                       
GO:0042277      peptide binding                                                                                                          ['Mc4r', 'Calr']                        
GO:0048566      embryonic digestive tract development                                                                                    ['Fgf9']                                
GO:0042551      neuron maturation                                                                                                        ['Srrm4']                               
GO:0001837      epithelial to mesenchymal transition                                                                                     ['Hnrnpab']                             
GO:0099544      perisynaptic space                                                                                                       ['Gria1']                               
GO:0033627      cell adhesion mediated by integrin                                                                                       ['Nexmif']                              
GO:0005773      vacuole                                                                                                                  ['Tvp23b', 'Acat2', 'Synpr', 'Col4a3bp', 'Unc13c', 'Tmem108', 'Ociad2', 'Snx2', 'Cnih1', 'Calr', 'Spcs2', 'Nrsn2', 'Pdia3', 'Tkt', 'Nrsn1']
GO:0006084      acetyl-CoA metabolic process                                                                                             ['Hmgcs1']                              
GO:0015220      choline transmembrane transporter activity                                                                               ['Slc44a5']                             
GO:0051489      regulation of filopodium assembly                                                                                        ['Fmr1']                                
GO:1901254      positive regulation of intracellular transport of viral material                                                         ['Fmr1']                                
GO:1902287      semaphorin-plexin signaling pathway involved in axon guidance                                                            ['Mef2c']                               
GO:0061136      regulation of proteasomal protein catabolic process                                                                      ['Btrc', 'Dlgap1']                      
GO:0097440      apical dendrite                                                                                                          ['Rgs12']                               
GO:0072583      clathrin-dependent endocytosis                                                                                           ['Magi2', 'Sgip1']                      
GO:1903428      positive regulation of reactive oxygen species biosynthetic process                                                      ['Adgrb1']                              
GO:0060999      positive regulation of dendritic spine development                                                                       ['Cdkl5', 'Fmr1']                       
GO:0034707      chloride channel complex                                                                                                 ['Gabrr1']                              
GO:0016684      oxidoreductase activity, acting on peroxide as acceptor                                                                  ['Sesn3']                               
GO:0000977      RNA polymerase II transcription regulatory region sequence-specific DNA binding                                          ['Lhx1', 'Ybx3', 'Mef2c', 'Stox2']      
GO:0090091      positive regulation of extracellular matrix disassembly                                                                  ['Tkt']                                 
GO:0098839      postsynaptic density membrane                                                                                            ['Neto2', 'Gria1', 'Cacng2']            
GO:0051968      positive regulation of synaptic transmission, glutamatergic                                                              ['Reln', 'Cacng2']                      
GO:0071013      catalytic step 2 spliceosome                                                                                             ['Raly']                                
GO:0031295      T cell costimulation                                                                                                     ['Cd24a']                               
R-MMU-5357769   Caspase activation via extrinsic apoptotic signalling pathway                                                            ['Casp3']                               
R-MMU-2172127   DAP12 interactions                                                                                                       ['Pik3cb']                              
GO:0044326      dendritic spine neck                                                                                                     ['Fmr1']                                
GO:0001641      group II metabotropic glutamate receptor activity                                                                        ['Grm3']                                
GO:0015464      acetylcholine receptor activity                                                                                          ['Lypd6', 'Lypd6b']                     
R-MMU-416476    G alpha (q) signalling events                                                                                            ['Prkca', 'Tac1']                       
GO:0021510      spinal cord development                                                                                                  ['Lhx1', 'Sox11']                       
GO:0098690      glycinergic synapse                                                                                                      ['Iqsec3']                              
R-MMU-72163     mRNA Splicing - Major Pathway                                                                                            ['Srsf4', 'Srsf3']                      
R-MMU-2467813   Separation of Sister Chromatids                                                                                          ['Tubb4a', 'Ppp1cc']                    
GO:0008104      protein localization                                                                                                     ['Pard3b']                              
GO:0030238      male sex determination                                                                                                   ['Fgf9']                                
GO:0030426      growth cone                                                                                                              ['Otx2', 'Dcx', 'Fmr1', 'Auts2', 'Nrsn1', 'Apc', 'Dpysl3']
GO:0097192      extrinsic apoptotic signaling pathway in absence of ligand                                                               ['Igf1']                                
GO:0035024      negative regulation of Rho protein signal transduction                                                                   ['Ripor2']                              
R-MMU-9012999   RHO GTPase cycle                                                                                                         ['Cpne8', 'Cdc37', 'Rhob', 'Srgap2', 'Ktn1', 'Dock4']
GO:0060065      uterus development                                                                                                       ['Lhx1']                                
GO:0034703      cation channel complex                                                                                                   ['Shisa8', 'Kcnmb2', 'Gria1', 'Cacng2'] 
R-MMU-983168    Antigen processing: Ubiquitination & Proteasome degradation                                                              ['Klhl13', 'Ube2e3']                    
R-MMU-3108232   SUMO E3 ligases SUMOylate target proteins                                                                                ['Top2b']                               
GO:0001566      non-kinase phorbol ester receptor activity                                                                               ['Unc13c']                              
GO:0006193      ITP catabolic process                                                                                                    ['Itpa']                                
GO:0030742      GTP-dependent protein binding                                                                                            ['Rapgef5']                             
R-MMU-429914    Deadenylation-dependent mRNA decay                                                                                       ['Cnot7']                               
GO:0035295      tube development                                                                                                         ['Fgf9']                                
GO:0036486      ventral trunk neural crest cell migration                                                                                ['Nrp2']                                
R-MMU-983169    Class I MHC mediated antigen processing & presentation                                                                   ['Klhl13', 'Ube2e3', 'Calr', 'Pdia3']   
GO:1904315      transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential              ['Gria1']                               
GO:0006893      Golgi to plasma membrane transport                                                                                       ['Exoc5']                               
GO:0002675      positive regulation of acute inflammatory response                                                                       ['Tac1']                                
R-MMU-109582    Hemostasis                                                                                                               ['Igf1', 'Zfpm2', 'Pik3cb', 'Prkca', 'Carmil1', 'Tubb4a', 'Gnai2', 'Rhob', 'Dock4']
R-MMU-373760    L1CAM interactions                                                                                                       ['Tubb4a']                              
GO:0005096      GTPase activator activity                                                                                                ['Rgs12', 'Srgap2', 'Agfg1', 'Dock4']   
GO:0060216      definitive hemopoiesis                                                                                                   ['Tal1']                                
GO:0005200      structural constituent of cytoskeleton                                                                                   ['Tubb4a', 'Tln2', 'Epb41l3']           
GO:0042060      wound healing                                                                                                            ['Igf1']                                
GO:0019448      L-cysteine catabolic process                                                                                             ['Cdo1']                                
GO:0042382      paraspeckles                                                                                                             ['Bcl11a']                              
GO:0030219      megakaryocyte differentiation                                                                                            ['Tal1']                                
GO:2000767      positive regulation of cytoplasmic translation                                                                           ['Cnbp']                                
GO:0034736      cholesterol O-acyltransferase activity                                                                                   ['Acat2']                               
GO:0043005      neuron projection                                                                                                        ['Gabrr1', 'Lypd6', 'Grm3', 'Reln', 'Synpr', 'Dcx', 'Gria1', 'Fmr1', 'Nrsn2', 'Magi2', 'Cacng2', 'Nrsn1', 'Cadm1']
GO:0051988      regulation of attachment of spindle microtubules to kinetochore                                                          ['Apc']                                 
R-MMU-6811436   COPI-independent Golgi-to-ER retrograde traffic                                                                          ['Tubb4a']                              
GO:0051560      mitochondrial calcium ion homeostasis                                                                                    ['Micu1']                               
GO:0022037      metencephalon development                                                                                                ['Otx2']                                
GO:0052812      phosphatidylinositol-3,4-bisphosphate 5-kinase activity                                                                  ['Pik3cb']                              
R-MMU-5653656   Vesicle-mediated transport                                                                                               ['Tubb4a', 'Gria1', 'Snx2', 'Scarb2', 'Cnih1', 'Calr', 'Sgip1', 'Agfg1']
GO:0000340      RNA 7-methylguanosine cap binding                                                                                        ['Fmr1']                                
GO:0000724      double-strand break repair via homologous recombination                                                                  ['Yy1']                                 
GO:0031490      chromatin DNA binding                                                                                                    ['Tox3']                                
GO:0014044      Schwann cell development                                                                                                 ['Pou3f2']                              
GO:0060283      negative regulation of oocyte development                                                                                ['Igf1']                                
GO:0006538      glutamate catabolic process                                                                                              ['Gad1']                                
GO:0120199      cone photoreceptor outer segment                                                                                         ['Prkca']                               
GO:0005198      structural molecule activity                                                                                             ['Epb41l3']                             
R-MMU-392499    Metabolism of proteins                                                                                                   ['Igf1', 'St8sia2', 'Klhl13', 'St6galnac5', 'Lypd6b', 'St6gal2', 'Ube2e3', 'Tubb4a', 'Yy1', 'Gria1', 'Rnf152', 'Uchl3', 'Cnih1', 'Commd4', 'B3glct', 'Calr', 'Spcs2', 'Top2b', 'Pdia3', 'Scg2', 'Exoc5', 'Ktn1', 'Apc', 'Lsamp']
GO:0016192      vesicle-mediated transport                                                                                               ['Tvp23b', 'Cnih1']                     
R-MMU-420597    Nectin/Necl  trans heterodimerization                                                                                    ['Cadm1']                               
GO:0005230      extracellular ligand-gated monoatomic ion channel activity                                                               ['Gabrr1']                              
GO:0055059      asymmetric neuroblast division                                                                                           ['Sox5']                                
GO:2000391      positive regulation of neutrophil extravasation                                                                          ['Ripor2']                              
GO:0006612      protein targeting to membrane                                                                                            ['Cacng2']                              
R-MMU-5620912   Anchoring of the basal body to the plasma membrane                                                                       ['Tubb4a']                              
GO:0030695      GTPase regulator activity                                                                                                ['Rgs12', 'Hmgcr']                      
GO:0035064      methylated histone binding                                                                                               ['Fmr1', 'Mphosph8']                    
R-MMU-8949664   Processing of SMDT1                                                                                                      ['Micu1']                               
GO:0042542      response to hydrogen peroxide                                                                                            ['Casp3']                               
GO:0071466      cellular response to xenobiotic stimulus                                                                                 ['Ppm1e', 'Mef2c']                      
GO:0060510      type II pneumocyte differentiation                                                                                       ['Igf1']                                
GO:1901164      negative regulation of trophoblast cell migration                                                                        ['Calr']                                
GO:0005635      nuclear envelope                                                                                                         ['Calr', 'Nav3']                        
GO:0016462      pyrophosphatase activity                                                                                                 ['Itpa']                                
GO:0030315      T-tubule                                                                                                                 ['Nos1ap']                              
R-MMU-416993    Trafficking of GluR2-containing AMPA receptors                                                                           ['Prkca', 'Gria1']                      
GO:1900747      negative regulation of vascular endothelial growth factor signaling pathway                                              ['Pik3cb']                              
GO:0033044      regulation of chromosome organization                                                                                    ['Yy1']                                 
GO:0031982      vesicle                                                                                                                  ['Tkt']                                 
GO:1902219      negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress                               ['Ybx3']                                
GO:0071638      negative regulation of monocyte chemotactic protein-1 production                                                         ['Cd24a']                               
GO:0021897      forebrain astrocyte development                                                                                          ['Pou3f2']                              
GO:0031966      mitochondrial membrane                                                                                                   ['Micu1']                               
GO:0007601      visual perception                                                                                                        ['Cplx3', 'Sox14', 'Cabp1']             
GO:0099527      postsynapse to nucleus signaling pathway                                                                                 ['Cabp1']                               
GO:0007517      muscle organ development                                                                                                 ['Ripor2', 'Adgrb1']                    
GO:0042753      positive regulation of circadian rhythm                                                                                  ['Btrc']                                
GO:0008143      poly(A) binding                                                                                                          ['Khdrbs2']                             
GO:0048167      regulation of synaptic plasticity                                                                                        ['Shisa8', 'Rims4', 'Adgrb1', 'Gria1', 'Mef2c']
GO:0097190      apoptotic signaling pathway                                                                                              ['Cd24a']                               
GO:0042147      retrograde transport, endosome to Golgi                                                                                  ['Snx2']                                
GO:0004698      calcium-dependent protein kinase C activity                                                                              ['Prkca']                               
GO:0097542      ciliary tip                                                                                                              ['Cdkl5']                               
GO:0072006      nephron development                                                                                                      ['Fat4']                                
GO:0021952      central nervous system projection neuron axonogenesis                                                                    ['Dcx']                                 
GO:0008179      adenylate cyclase binding                                                                                                ['Gria1']                               
GO:0016573      histone acetylation                                                                                                      ['Yeats4']                              
GO:0021869      forebrain ventricular zone progenitor cell division                                                                      ['Pou3f2', 'Dixdc1']                    
GO:0035019      somatic stem cell population maintenance                                                                                 ['Apc']                                 
GO:0016810      hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds                                                    ['Ddah1', 'Dpysl3']                     
GO:0140199      negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process      ['Gnai2']                               
GO:0005811      lipid droplet                                                                                                            ['BC031181']                            
GO:1905368      peptidase complex                                                                                                        ['Spcs2']                               
GO:0033674      positive regulation of kinase activity                                                                                   ['Tkt']                                 
GO:0045786      negative regulation of cell cycle                                                                                        ['Casp3', 'Rhob']                       
GO:0006338      chromatin remodeling                                                                                                     ['Yy1', 'Rybp', 'Yeats4']               
GO:0005543      phospholipid binding                                                                                                     ['Unc13c']                              
GO:0004697      protein kinase C activity                                                                                                ['Prkca']                               
GO:1904322      cellular response to forskolin                                                                                           ['Adcy8']                               
GO:1990907      beta-catenin-TCF complex                                                                                                 ['Tle4']                                
GO:0061003      positive regulation of dendritic spine morphogenesis                                                                     ['Reln']                                
GO:0007623      circadian rhythm                                                                                                         ['Igf1']                                
GO:0048513      animal organ development                                                                                                 ['Zeb1']                                
