Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Pou3f1', 'Sox6', 'Junb', 'Fos', 'Rorb', 'Klf4', 'Lef1', 'Sp5', 'Bcl11b', 'Pou3f4']
GO:0090090      negative regulation of canonical Wnt signaling pathway                                                                   ['Dkk2', 'Nog', 'Dkk3']                 
GO:1903892      negative regulation of ATF6-mediated unfolded protein response                                                           ['Wfs1']                                
GO:0030879      mammary gland development                                                                                                ['Lef1']                                
GO:0008270      zinc ion binding                                                                                                         ['Hhip', 'Rorb', 'Pam']                 
GO:0021987      cerebral cortex development                                                                                              ['Btbd3']                               
GO:0035869      ciliary transition zone                                                                                                  ['Sept2']                               
GO:0009897      external side of plasma membrane                                                                                         ['Gfra1']                               
GO:0047372      acylglycerol lipase activity                                                                                             ['Mgll']                                
GO:0004598      peptidylamidoglycolate lyase activity                                                                                    ['Pam']                                 
GO:0030672      synaptic vesicle membrane                                                                                                ['Wfs1', 'Prrt1']                       
GO:0070887      cellular response to chemical stimulus                                                                                   ['Cpne9']                               
R-MMU-3858494   Beta-catenin independent WNT signaling                                                                                   ['Lef1']                                
GO:1902236      negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway                        ['Wfs1']                                
R-MMU-168898    Toll-like Receptor Cascades                                                                                              ['Fos']                                 
GO:0008033      tRNA processing                                                                                                          ['Fars2']                               
GO:0048278      vesicle docking                                                                                                          ['Bves']                                
GO:0035725      sodium ion transmembrane transport                                                                                       ['Cacna1h', 'Hecw2']                    
R-MMU-8866376   Reelin signalling pathway                                                                                                ['Vldlr']                               
GO:0005254      chloride channel activity                                                                                                ['Gabra4', 'Gabra5']                    
GO:0097009      energy homeostasis                                                                                                       ['Irx3']                                
GO:0034189      very-low-density lipoprotein particle binding                                                                            ['Vldlr']                               
GO:1901379      regulation of potassium ion transmembrane transport                                                                      ['Kcnab1']                              
GO:0038024      cargo receptor activity                                                                                                  ['Vldlr']                               
GO:0008283      cell population proliferation                                                                                            ['Kitl', 'Nog', 'Mab21l2', 'Junb', 'Fam19a1']
GO:0006898      receptor-mediated endocytosis                                                                                            ['Vldlr']                               
GO:0005248      voltage-gated sodium channel activity                                                                                    ['Cacna1h']                             
R-MMU-376172    DSCAM interactions                                                                                                       ['Dscaml1']                             
GO:0005813      centrosome                                                                                                               ['Rap1gap2', 'Mtus2', 'Ttc28']          
GO:0071805      potassium ion transmembrane transport                                                                                    ['Kcnab1']                              
GO:0005488      binding                                                                                                                  ['Sept2']                               
GO:0006396      RNA processing                                                                                                           ['Adarb1']                              
GO:0009898      cytoplasmic side of plasma membrane                                                                                      ['Prmt8', 'Ajap1']                      
R-MMU-9018519   Estrogen-dependent gene expression                                                                                       ['Fos']                                 
GO:0030509      BMP signaling pathway                                                                                                    ['Nog', 'Lef1']                         
GO:0003690      double-stranded DNA binding                                                                                              ['Junb', 'Fos', 'Klf4', 'Pou3f4']       
GO:0003726      double-stranded RNA adenosine deaminase activity                                                                         ['Adarb1']                              
GO:0034332      adherens junction organization                                                                                           ['Cdh7']                                
GO:0004016      adenylate cyclase activity                                                                                               ['Grm7']                                
GO:1903672      positive regulation of sprouting angiogenesis                                                                            ['Klf4']                                
GO:0046982      protein heterodimerization activity                                                                                      ['Adra2a']                              
GO:0030111      regulation of Wnt signaling pathway                                                                                      ['Lef1']                                
R-MMU-163125    Post-translational modification: synthesis of GPI-anchored proteins                                                      ['Cntn3', 'Lypd1']                      
GO:0042733      embryonic digit morphogenesis                                                                                            ['Nog']                                 
GO:0035166      post-embryonic hemopoiesis                                                                                               ['Klf4']                                
GO:0008045      motor neuron axon guidance                                                                                               ['Nog']                                 
GO:0071702      organic substance transport                                                                                              ['Mfsd12']                              
GO:0016773      phosphotransferase activity, alcohol group as acceptor                                                                   ['Papss1']                              
GO:0008544      epidermis development                                                                                                    ['Pou3f1', 'Klf4']                      
GO:0005237      inhibitory extracellular ligand-gated monoatomic ion channel activity                                                    ['Gabra4', 'Gabra5']                    
GO:0001501      skeletal system development                                                                                              ['Nog']                                 
GO:0002036      regulation of L-glutamate import across plasma membrane                                                                  ['Sept2']                               
GO:0045956      positive regulation of calcium ion-dependent exocytosis                                                                  ['Cacna1h']                             
GO:0006355      regulation of DNA-templated transcription                                                                                ['Barhl1', 'Ebf2', 'Pou3f1', 'Irx5', 'Sox6', 'Junb', 'Fos', 'Irx3', 'Rorb', 'Lef1', 'Pou3f4']
GO:0044297      cell body                                                                                                                ['Gabra5']                              
GO:0060415      muscle tissue morphogenesis                                                                                              ['Adarb1']                              
R-MMU-372790    Signaling by GPCR                                                                                                        ['Mgll', 'Adra2a', 'Grm7']              
GO:0000979      RNA polymerase II core promoter sequence-specific DNA binding                                                            ['Fos']                                 
GO:0090103      cochlea morphogenesis                                                                                                    ['Pou3f4']                              
GO:0061744      motor behavior                                                                                                           ['Adarb1']                              
GO:0050679      positive regulation of epithelial cell proliferation                                                                     ['Nog']                                 
GO:0003924      GTPase activity                                                                                                          ['Rap1gap2', 'Dock10', 'Sept2']         
GO:0045202      synapse                                                                                                                  ['Mgll', 'Dscaml1', 'Gabra4', 'Kctd12', 'Gabra5', 'Dock10', 'Sept2', 'Prrt1', 'Ptprz1']
GO:0008454      alpha-1,3-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity                                           ['Mgat4c']                              
GO:0005244      voltage-gated monoatomic ion channel activity                                                                            ['Kcnab1', 'Cacna1h']                   
R-MMU-983169    Class I MHC mediated antigen processing & presentation                                                                   ['Hecw2']                               
GO:0045893      positive regulation of DNA-templated transcription                                                                       ['Ebf2', 'Pou3f1', 'Sox6', 'Fos', 'Rorb', 'Klf4', 'Lef1']
GO:0031514      motile cilium                                                                                                            ['Sept2']                               
R-MMU-75102     C6 deamination of adenosine                                                                                              ['Adarb1']                              
GO:0003712      transcription coregulator activity                                                                                       ['Zfp653']                              
GO:0001518      voltage-gated sodium channel complex                                                                                     ['Cacna1h']                             
GO:0043392      negative regulation of DNA binding                                                                                       ['Lef1']                                
GO:0045296      cadherin binding                                                                                                         ['Cdh7']                                
R-MMU-166058    MyD88:MAL(TIRAP) cascade initiated on plasma membrane                                                                    ['Fos']                                 
GO:0090102      cochlea development                                                                                                      ['Gabra5']                              
GO:0042474      middle ear morphogenesis                                                                                                 ['Nog']                                 
R-MMU-426048    Arachidonate production from DAG                                                                                         ['Mgll']                                
GO:0030534      adult behavior                                                                                                           ['Grm7']                                
GO:0009617      response to bacterium                                                                                                    ['Hmcn1']                               
GO:0030336      negative regulation of cell migration                                                                                    ['Nog', 'Klf4', 'Adarb1']               
GO:0099507      ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential                    ['Gabra5']                              
GO:0070509      calcium ion import                                                                                                       ['Cacna1h']                             
GO:0003779      actin binding                                                                                                            ['Myo1b', 'Fhod3', 'Syne1']             
GO:0048523      negative regulation of cellular process                                                                                  ['Kcnab1', 'Hecw2']                     
GO:0032993      protein-DNA complex                                                                                                      ['Fos', 'Lef1']                         
GO:0043949      regulation of cAMP-mediated signaling                                                                                    ['Adra2a']                              
GO:0002317      plasma cell differentiation                                                                                              ['Itm2a']                               
GO:0030048      actin filament-based movement                                                                                            ['Myo1b']                               
GO:0045717      negative regulation of fatty acid biosynthetic process                                                                   ['Acadl']                               
R-MMU-1280215   Cytokine Signaling in Immune system                                                                                      ['Fos', 'Ptprz1']                       
R-MMU-975577    N-Glycan antennae elongation                                                                                             ['Mgat4c']                              
GO:0090136      epithelial cell-cell adhesion                                                                                            ['Bves']                                
GO:0007160      cell-matrix adhesion                                                                                                     ['Npnt']                                
GO:0001227      DNA-binding transcription repressor activity, RNA polymerase II-specific                                                 ['Pou3f1', 'Sox6', 'Irx3', 'Lef1', 'Sp5']
GO:0098632      cell-cell adhesion mediator activity                                                                                     ['Dscaml1']                             
GO:0005261      monoatomic cation channel activity                                                                                       ['Cacna1h']                             
GO:0009913      epidermal cell differentiation                                                                                           ['Klf4']                                
GO:0030854      positive regulation of granulocyte differentiation                                                                       ['Lef1']                                
GO:1902260      negative regulation of delayed rectifier potassium channel activity                                                      ['Kcnab1']                              
GO:0043087      regulation of GTPase activity                                                                                            ['Bves']                                
GO:0005938      cell cortex                                                                                                              ['Hmcn1', 'Sept2', 'Grm7']              
R-MMU-77042     Formation of editosomes by ADAR proteins                                                                                 ['Adarb1']                              
GO:0030071      regulation of mitotic metaphase/anaphase transition                                                                      ['Hecw2']                               
GO:0000785      chromatin                                                                                                                ['Klf4']                                
GO:0035242      protein-arginine omega-N asymmetric methyltransferase activity                                                           ['Prmt8']                               
GO:0046548      retinal rod cell development                                                                                             ['Rorb']                                
GO:0008332      low voltage-gated calcium channel activity                                                                               ['Cacna1h']                             
R-MMU-181438    Toll Like Receptor 2 (TLR2) Cascade                                                                                      ['Fos']                                 
GO:0043433      negative regulation of DNA-binding transcription factor activity                                                         ['Klf4', 'Wfs1']                        
GO:0060090      molecular adaptor activity                                                                                               ['Sept2']                               
GO:0071356      cellular response to tumor necrosis factor                                                                               ['Npnt']                                
GO:0007519      skeletal muscle tissue development                                                                                       ['Bves']                                
GO:1904047      S-adenosyl-L-methionine binding                                                                                          ['Prmt8']                               
GO:0048468      cell development                                                                                                         ['Irx5', 'Irx3', 'Lef1']                
R-MMU-201451    Signaling by BMP                                                                                                         ['Nog']                                 
GO:0003334      keratinocyte development                                                                                                 ['Bcl11b']                              
GO:0034447      very-low-density lipoprotein particle clearance                                                                          ['Vldlr']                               
GO:0031012      extracellular matrix                                                                                                     ['Col26a1', 'Npnt', 'Spon1', 'Ptprz1']  
GO:0019216      regulation of lipid metabolic process                                                                                    ['Bcl11b']                              
GO:0007411      axon guidance                                                                                                            ['Dscaml1', 'Nog']                      
GO:2000134      negative regulation of G1/S transition of mitotic cell cycle                                                             ['Klf4']                                
GO:0007492      endoderm development                                                                                                     ['Nog']                                 
GO:0031105      septin complex                                                                                                           ['Sept2']                               
GO:0004812      aminoacyl-tRNA ligase activity                                                                                           ['Fars2']                               
GO:0040017      positive regulation of locomotion                                                                                        ['Bves']                                
GO:0007271      synaptic transmission, cholinergic                                                                                       ['Lypd1']                               
GO:1904294      positive regulation of ERAD pathway                                                                                      ['Wfs1']                                
GO:0005887      integral component of plasma membrane                                                                                    ['Adra2a', 'Gabra4', 'Kcnab1', 'Gabra5', 'Cacna1h', 'Mfsd12', 'Ajap1', 'Grm7']
GO:0042383      sarcolemma                                                                                                               ['Bves', 'Cacna1h']                     
GO:0034703      cation channel complex                                                                                                   ['Kcnab1', 'Cacna1h']                   
R-MMU-8964046   VLDL clearance                                                                                                           ['Vldlr']                               
R-MMU-1257604   PIP3 activates AKT signaling                                                                                             ['Kitl']                                
GO:0017018      myosin phosphatase activity                                                                                              ['Dusp1']                               
GO:1901016      regulation of potassium ion transmembrane transporter activity                                                           ['Kcnab1']                              
GO:0018108      peptidyl-tyrosine phosphorylation                                                                                        ['Kitl']                                
GO:0030900      forebrain development                                                                                                    ['Pou3f1', 'Nog', 'Btbd3']              
GO:0061512      protein localization to cilium                                                                                           ['Sept2']                               
GO:0009410      response to xenobiotic stimulus                                                                                          ['Fos', 'Pam']                          
GO:0099500      vesicle fusion to plasma membrane                                                                                        ['Cacna1h', 'Sept2']                    
GO:0004890      GABA-A receptor activity                                                                                                 ['Gabra4', 'Gabra5']                    
R-MMU-450341    Activation of the AP-1 family of transcription factors                                                                   ['Fos']                                 
GO:0050896      response to stimulus                                                                                                     ['Irx5', 'Rorb', 'Grm7']                
R-MMU-2559583   Cellular Senescence                                                                                                      ['Fos']                                 
GO:0000049      tRNA binding                                                                                                             ['Fars2']                               
GO:0034446      substrate adhesion-dependent cell spreading                                                                              ['Bves']                                
GO:0060676      ureteric bud formation                                                                                                   ['Nog']                                 
GO:1900006      positive regulation of dendrite development                                                                              ['Vldlr', 'Ptprz1']                     
GO:0008168      methyltransferase activity                                                                                               ['Prmt8', 'Eef2kmt']                    
GO:1902993      positive regulation of amyloid precursor protein catabolic process                                                       ['Spon1']                               
GO:0033550      MAP kinase tyrosine phosphatase activity                                                                                 ['Dusp1']                               
GO:0021542      dentate gyrus development                                                                                                ['Lef1']                                
R-MMU-166016    Toll Like Receptor 4 (TLR4) Cascade                                                                                      ['Fos']                                 
GO:0021517      ventral spinal cord development                                                                                          ['Vldlr']                               
GO:0032956      regulation of actin cytoskeleton organization                                                                            ['Pam']                                 
GO:0010694      positive regulation of alkaline phosphatase activity                                                                     ['Npnt']                                
GO:0098794      postsynapse                                                                                                              ['Gabra4', 'Gabra5', 'Dock10']          
GO:0014044      Schwann cell development                                                                                                 ['Pou3f1']                              
R-MMU-114508    Effects of PIP2 hydrolysis                                                                                               ['Mgll']                                
GO:0045588      positive regulation of gamma-delta T cell differentiation                                                                ['Lef1']                                
